+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 20260909 | Processed entries: 485                        |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
|     98,130,337,792 | TT       | Trane Technologies             |
|     97,651,228,672 | KKR      | KKR                            |
|     97,362,640,896 | USB      | U.S. Bancorp                   |
|     96,907,411,456 | PNC      | PNC Financial Services         |
|     96,475,275,264 | GD       | General Dynamics               |
|     96,076,939,264 | PWR      | Quanta Services                |
|     94,531,092,480 | DUK      | Duke Energy                    |
|     93,435,600,896 | CMCSA    | Comcast                        |
|     92,752,789,504 | WMB      | Williams Companies             |
|     92,334,489,600 | HWM      | Howmet Aerospace               |
|     90,771,267,584 | CSX      | CSX Corporation                |
|     88,662,368,256 | JCI      | Johnson Controls               |
|     88,565,596,160 | ICE      | Intercontinental Exchange      |
|     87,239,147,520 | INTU     | Intuit                         |
|     87,168,442,368 | ELV      | Elevance Health                |
|     87,049,977,856 | WM       | Waste Management               |
|     87,037,935,616 | HCA      | HCA Healthcare                 |
|     86,393,823,232 | MMM      | 3M                             |
|     85,737,349,120 | MAR      | Marriott International         |
|     85,486,534,656 | UPS      | United Parcel Service          |
|     84,869,267,456 | EMR      | Emerson Electric               |
|     84,744,577,024 | SLB      | Schlumberger                   |
|     84,533,084,160 | MNST     | Monster Beverage               |
|     83,425,460,224 | REGN     | Regeneron Pharmaceuticals      |
|     83,343,351,808 | MCO      | Moody's Corporation            |
|     81,883,160,576 | AMT      | American Tower                 |
|     80,434,626,560 | SPG      | Simon Property Group           |
|     80,233,996,288 | CTAS     | Cintas                         |
|     79,160,999,936 | SHW      | Sherwin-Williams               |
|     78,658,871,296 | MDLZ     | Mondelez International         |
|     78,241,898,496 | CDNS     | Cadence Design Systems         |
|     77,962,182,656 | ECL      | Ecolab                         |
|     77,592,895,488 | GM       | General Motors                 |
|     77,305,487,360 | CMI      | Cummins                        |
|     76,620,316,672 | MSI      | Motorola Solutions             |
|     76,522,913,792 | ITW      | Illinois Tool Works            |
|     76,267,544,576 | TRV      | Travelers Companies (The)      |
|     76,245,565,440 | EOG      | EOG Resources                  |
|     75,127,308,288 | SNPS     | Synopsys                       |
|     74,377,854,976 | HPE      | Hewlett Packard Enterprise     |
|     74,345,283,584 | FDX      | FedEx                          |
|     73,918,627,840 | TGT      | Target Corporation             |
|     73,671,049,216 | NOC      | Northrop Grumman               |
|     73,653,575,680 | NSC      | Norfolk Southern Railway       |
|     73,558,310,912 | ROST     | Ross Stores                    |
|     72,885,444,608 | CI       | Cigna                          |
|     71,567,269,888 | DLR      | Digital Realty                 |
|     71,213,129,728 | KMI      | Kinder Morgan                  |
|     70,741,073,920 | RCL      | Royal Caribbean Group          |
|     70,500,687,872 | WBD      | Warner Bros. Discovery         |
|     70,478,053,376 | CL       | Colgate-Palmolive              |
|     69,481,635,840 | ORLY     | O'Reilly Auto Parts            |
|     68,525,514,752 | HLT      | Hilton Worldwide               |
|     68,278,317,056 | AEP      | American Electric Power        |
|     67,865,985,024 | RSG      | Republic Services              |
|     66,987,094,016 | AON      | Aon                            |
|     66,295,709,696 | APD      | Air Products                   |
|     65,999,589,376 | HON      | Honeywell                      |
|     65,186,344,960 | BSX      | Boston Scientific              |
|     64,479,707,136 | PCAR     | Paccar                         |
|     64,456,941,568 | AJG      | Arthur J. Gallagher & Co.      |
|     64,089,378,816 | ALL      | Allstate                       |
|     63,451,721,728 | BKR      | Baker Hughes                   |
|     63,299,358,720 | TDG      | TransDigm Group                |
|     63,186,706,432 | URI      | United Rentals                 |
|     63,104,909,312 | TRGP     | Targa Resources                |
|     61,959,671,808 | COR      | Cencora                        |
|     61,753,204,736 | TFC      | Truist Financial               |
|     61,467,348,992 | OKE      | ONEOK                          |
|     60,721,127,424 | GWW      | W. W. Grainger                 |
|     60,688,048,128 | MET      | MetLife                        |
|     60,628,008,960 | OXY      | Occidental Petroleum           |
|     59,880,747,008 | MPWR     | Monolithic Power Systems       |
|     59,347,316,736 | TEL      | TE Connectivity                |
|     58,242,207,744 | D        | Dominion Energy                |
|     58,170,920,960 | NUE      | Nucor                          |
|     58,168,139,776 | TER      | Teradyne                       |
|     57,738,227,712 | O        | Realty Income                  |
|     57,734,696,960 | AFL      | Aflac                          |
|     57,312,141,312 | CTVA     | Corteva                        |
|     56,763,006,976 | KEYS     | Keysight Technologies          |
|     56,663,433,216 | FAST     | Fastenal                       |
|     56,521,302,016 | NKE      | Nike Inc.                      |
|     56,451,993,600 | NXPI     | NXP Semiconductors             |
|     56,322,519,040 | PSA      | Public Storage                 |
|     56,024,776,704 | MRNA     | Moderna                        |
|     55,932,137,472 | CAH      | Cardinal Health                |
|     55,905,947,648 | FANG     | Diamondback Energy             |
|     55,888,863,232 | SRE      | Sempra                         |
|     55,826,341,888 | F        | Ford Motor Company             |
|     54,509,154,304 | AME      | Ametek                         |
|     53,240,000,512 | DVN      | Devon Energy                   |
|     53,165,588,480 | GRMN     | Garmin                         |
|     53,125,206,016 | NDAQ     | Nasdaq Inc.                    |
|     52,925,640,704 | EA       | Electronic Arts                |
|     52,709,773,312 | STT      | State Street Corporation       |
|     51,925,913,600 | DAL      | Delta Air Lines                |
|     51,853,189,120 | ETR      | Entergy                        |
|     50,922,573,824 | VST      | Vistra Corp.                   |
|     49,985,409,024 | EW       | Edwards Lifesciences           |
|     49,434,710,016 | FITB     | Fifth Third Bancorp            |
|     49,172,451,328 | AMP      | Ameriprise Financial           |
|     48,784,482,304 | BDX      | Becton Dickinson               |
|     48,725,856,256 | CARR     | Carrier Global                 |
|     48,403,169,280 | HUM      | Humana                         |
|     48,046,694,400 | WAB      | Wabtec                         |
|     48,021,884,928 | XEL      | Xcel Energy                    |
|     47,750,991,872 | ROK      | Rockwell Automation            |
|     47,622,529,024 | LHX      | L3Harris                       |
|     46,769,848,320 | CMG      | Chipotle Mexican Grill         |
|     46,542,548,992 | EBAY     | eBay                           |
|     46,098,493,440 | VTR      | Ventas                         |
|     45,493,407,744 | PYPL     | PayPal                         |
|     45,279,662,080 | EXC      | Exelon                         |
|     44,351,889,408 | ADSK     | Autodesk                       |
|     44,294,885,376 | KDP      | Keurig Dr Pepper               |
|     42,665,963,520 | IQV      | IQVIA                          |
|     41,624,797,184 | PAYX     | Paychex                        |
|     41,406,681,088 | A        | Agilent Technologies           |
|     41,194,979,328 | CBRE     | CBRE Group                     |
|     41,186,099,200 | PRU      | Prudential Financial           |
|     41,059,827,712 | AXON     | Axon Enterprise                |
|     40,982,728,704 | IDXX     | Idexx Laboratories             |
|     40,801,439,744 | YUM      | Yum! Brands                    |
|     40,725,585,920 | ADM      | Archer Daniels Midland         |
|     40,086,052,864 | MSCI     | MSCI                           |
|     40,041,345,024 | ED       | Consolidated Edison            |
|     39,881,060,352 | TTWO     | Take-Two Interactive           |
|     39,845,978,112 | MCHP     | Microchip Technology           |
