+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 09/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
+----------+------------------------+----------+----------+----------+
| EA       | Electronic Arts        |   209.70 |   210.20 |    0.24% |
| VLO      | Valero Energy          |   382.85 |   384.26 |    0.37% |
| TECH     | Bio-Techne             |    72.31 |    72.62 |    0.43% |
| MPC      | Marathon Petroleum     |   397.77 |   399.58 |    0.45% |
| PSX      | Phillips 66            |   259.14 |   260.92 |    0.68% |
| AVB      | AvalonBay Communities  |   184.06 |   185.62 |    0.84% |
| DELL     | Dell Technologies      |   533.88 |   538.42 |    0.84% |
| COP      | ConocoPhillips         |   135.04 |   137.50 |    1.79% |
| STT      | State Street Corpor... |   191.88 |   195.93 |    2.07% |
| BBY      | Best Buy               |    89.33 |    91.27 |    2.13% |
| CVX      | Chevron Corporation    |   209.80 |   214.71 |    2.29% |
| OKE      | ONEOK                  |    97.51 |    99.85 |    2.34% |
| VZ       | Verizon                |    50.41 |    51.68 |    2.46% |
| AMP      | Ameriprise Financial   |   556.67 |   572.56 |    2.78% |
| EXPD     | Expeditors Internat... |   185.96 |   192.28 |    3.29% |
| RJF      | Raymond James Finan... |   176.55 |   182.73 |    3.38% |
| JPM      | JPMorgan Chase         |   353.51 |   366.50 |    3.54% |
| DE       | Deere & Company        |   680.73 |   705.88 |    3.56% |
| HSIC     | Henry Schein           |    88.86 |    92.18 |    3.60% |
| AWK      | American Water Works   |   140.38 |   145.64 |    3.61% |
| KDP      | Keurig Dr Pepper       |    32.55 |    33.82 |    3.76% |
| IVZ      | Invesco                |    32.34 |    33.66 |    3.92% |
| CZR      | Caesars Entertainment  |    29.66 |    30.88 |    3.95% |
| IFF      | International Flavo... |    85.62 |    89.32 |    4.14% |
| JNJ      | Johnson & Johnson      |   269.12 |   281.07 |    4.25% |
| SOLV     | Solventum              |    90.11 |    94.16 |    4.30% |
| BAC      | Bank of America        |    62.39 |    65.23 |    4.35% |
| V        | Visa Inc.              |   368.64 |   385.57 |    4.39% |
| TRGP     | Targa Resources        |   294.29 |   307.94 |    4.43% |
| RVTY     | Revvity                |   127.08 |   133.00 |    4.45% |
| KO       | Coca-Cola Company (... |    88.36 |    92.49 |    4.47% |
| ADM      | Archer Daniels Midland |    84.50 |    88.46 |    4.48% |
| BEN      | Franklin Resources     |    34.65 |    36.28 |    4.49% |
| FCX      | Freeport-McMoRan       |    76.62 |    80.24 |    4.51% |
| NVDA     | Nvidia                 |   225.73 |   236.54 |    4.57% |
| APA      | APA Corporation        |    43.55 |    45.66 |    4.62% |
| IQV      | IQVIA                  |   259.21 |   271.80 |    4.63% |
| TGT      | Target Corporation     |   162.71 |   170.75 |    4.71% |
| DGX      | Quest Diagnostics      |   235.50 |   247.19 |    4.73% |
| CPAY     | Corpay                 |   407.05 |   427.46 |    4.77% |
| PFE      | Pfizer                 |    27.79 |    29.21 |    4.86% |
| HPQ      | HP Inc.                |    31.17 |    32.78 |    4.91% |
| QRVO     | Qorvo                  |   104.07 |   109.49 |    4.95% |
| LH       | LabCorp                |   324.86 |   341.80 |    4.96% |
| RSG      | Republic Services      |   221.63 |   233.42 |    5.05% |
| PFG      | Principal Financial... |   115.04 |   121.18 |    5.07% |
| MA       | Mastercard             |   570.89 |   601.62 |    5.11% |
| WMB      | Williams Companies     |    75.83 |    80.08 |    5.31% |
| MTCH     | Match Group            |    41.15 |    43.47 |    5.34% |
| CF       | CF Industries          |   134.33 |   141.96 |    5.37% |
| MET      | MetLife                |    95.50 |   100.93 |    5.38% |
| MRK      | Merck & Co.            |   148.46 |   156.92 |    5.39% |
| EOG      | EOG Resources          |   145.36 |   153.67 |    5.41% |
| USB      | U.S. Bancorp           |    62.49 |    66.08 |    5.43% |
| APD      | Air Products           |   297.71 |   314.87 |    5.45% |
| WAT      | Waters Corporation     |   402.91 |   426.22 |    5.47% |
| TFX      | Teleflex               |   137.00 |   145.00 |    5.52% |
| SLB      | Schlumberger           |    57.10 |    60.46 |    5.56% |
| NTRS     | Northern Trust         |   184.88 |   195.78 |    5.57% |
| CTVA     | Corteva                |    85.90 |    90.97 |    5.57% |
| VRTX     | Vertex Pharmaceuticals |   528.90 |   560.25 |    5.60% |
| REGN     | Regeneron Pharmaceu... |   810.31 |   859.34 |    5.71% |
| BMY      | Bristol Myers Squibb   |    64.69 |    68.64 |    5.75% |
| NWSA     | News Corp (Class A)    |    29.82 |    31.66 |    5.81% |
| GEN      | Gen Digital            |    29.81 |    31.65 |    5.81% |
| BIIB     | Biogen                 |   212.50 |   225.80 |    5.89% |
| HUM      | Humana                 |   403.09 |   428.88 |    6.01% |
| NEM      | Newmont                |   127.09 |   135.29 |    6.06% |
| INCY     | Incyte                 |   124.40 |   132.60 |    6.18% |
| PNC      | PNC Financial Services |   242.91 |   258.96 |    6.20% |
| WBD      | Warner Bros. Discovery |    28.12 |    30.00 |    6.27% |
| MSI      | Motorola Solutions     |   462.98 |   494.85 |    6.44% |
| PRU      | Prudential Financial   |   119.38 |   127.72 |    6.53% |
| NDSN     | Nordson Corporation    |   316.80 |   339.12 |    6.58% |
| GM       | General Motors         |    85.79 |    91.85 |    6.60% |
| NDAQ     | Nasdaq Inc.            |    95.04 |   101.79 |    6.63% |
| ES       | Eversource Energy      |    71.49 |    76.57 |    6.63% |
| SCHW     | Charles Schwab Corp... |   106.87 |   114.53 |    6.69% |
| FAST     | Fastenal               |    49.38 |    52.92 |    6.69% |
| GPN      | Global Payments        |    89.42 |    95.88 |    6.74% |
| NWS      | News Corp (Class B)    |    33.34 |    35.76 |    6.77% |
| GILD     | Gilead Sciences        |   146.64 |   157.29 |    6.77% |
| TMO      | Thermo Fisher Scien... |   603.02 |   647.00 |    6.80% |
| JCI      | Johnson Controls       |   146.37 |   157.06 |    6.81% |
| MTB      | M&T Bank               |   238.44 |   255.95 |    6.84% |
| ED       | Consolidated Edison    |   108.27 |   116.23 |    6.85% |
| CNC      | Centene Corporation    |    64.58 |    69.36 |    6.89% |
| MS       | Morgan Stanley         |   216.24 |   232.25 |    6.89% |
| CAH      | Cardinal Health        |   240.49 |   258.30 |    6.90% |
| ABBV     | AbbVie                 |   248.78 |   267.47 |    6.99% |
| WELL     | Welltower              |   237.25 |   255.20 |    7.03% |
| CFG      | Citizens Financial ... |    69.99 |    75.33 |    7.09% |
| HIG      | Hartford (The)         |   135.66 |   146.07 |    7.13% |
| EVRG     | Evergy                 |    82.24 |    88.62 |    7.20% |
| KMX      | CarMax                 |    60.57 |    65.28 |    7.22% |
| BDX      | Becton Dickinson       |   179.10 |   193.07 |    7.24% |
| WAB      | Wabtec                 |   284.45 |   306.64 |    7.24% |
| DRI      | Darden Restaurants     |   212.92 |   229.76 |    7.33% |
| RF       | Regions Financial C... |    30.07 |    32.47 |    7.39% |
| CRM      | Salesforce             |   249.12 |   269.11 |    7.43% |
| CRL      | Charles River Labor... |   280.76 |   303.31 |    7.43% |
| IEX      | IDEX Corporation       |   225.66 |   243.80 |    7.44% |
| MDLZ     | Mondelez International |    61.63 |    66.65 |    7.53% |
| MHK      | Mohawk Industries      |   129.72 |   140.30 |    7.54% |
| AIZ      | Assurant               |   281.01 |   303.94 |    7.54% |
| C        | Citigroup              |   136.74 |   147.96 |    7.58% |
| SBUX     | Starbucks              |   102.01 |   110.51 |    7.69% |
| EQIX     | Equinix                |  1041.21 |  1128.68 |    7.75% |
| WTW      | Willis Towers Watson   |   325.34 |   352.79 |    7.78% |
| EG       | Everest Group          |   369.83 |   401.07 |    7.79% |
| ELV      | Elevance Health        |   401.94 |   436.24 |    7.86% |
| FANG     | Diamondback Energy     |   199.65 |   216.90 |    7.95% |
| CB       | Chubb Limited          |   336.64 |   365.91 |    8.00% |
| KMI      | Kinder Morgan          |    31.98 |    34.81 |    8.13% |
| BG       | Bunge Global           |   123.89 |   134.87 |    8.14% |
| DVN      | Devon Energy           |    48.40 |    52.71 |    8.18% |
| AAPL     | Apple Inc.             |   316.22 |   344.57 |    8.23% |
| SJM      | J.M. Smucker Compan... |   124.66 |   135.89 |    8.26% |
| TRV      | Travelers Companies... |   365.66 |   398.70 |    8.29% |
| JBHT     | J.B. Hunt              |   274.78 |   299.76 |    8.33% |
| ETR      | Entergy                |   108.53 |   118.45 |    8.37% |
| FITB     | Fifth Third Bancorp    |    54.51 |    59.50 |    8.39% |
| APH      | Amphenol               |    81.76 |    89.26 |    8.40% |
| NUE      | Nucor                  |   256.40 |   280.11 |    8.46% |
| CTAS     | Cintas                 |   200.50 |   219.17 |    8.52% |
| EMR      | Emerson Electric       |   152.15 |   166.35 |    8.54% |
| FRT      | Federal Realty Inve... |   117.25 |   128.21 |    8.55% |
| ESS      | Essex Property Trust   |   277.41 |   303.35 |    8.55% |
| NSC      | Norfolk Southern Ra... |   327.92 |   358.60 |    8.56% |
| ALL      | Allstate               |   253.46 |   277.22 |    8.57% |
| CSX      | CSX Corporation        |    49.00 |    53.60 |    8.58% |
| KVUE     | Kenvue                 |    18.39 |    20.13 |    8.64% |
| INVH     | Invitation Homes       |    28.22 |    30.89 |    8.65% |
| DXCM     | Dexcom                 |    84.53 |    92.59 |    8.71% |
| UNP      | Union Pacific Corpo... |   288.45 |   315.99 |    8.72% |
| ZBRA     | Zebra Technologies     |   352.54 |   386.23 |    8.72% |
| XEL      | Xcel Energy            |    76.88 |    84.23 |    8.73% |
| XOM      | ExxonMobil             |   160.66 |   176.41 |    8.93% |
| DLR      | Digital Realty         |   189.50 |   208.14 |    8.96% |
| CHD      | Church & Dwight        |    96.54 |   106.04 |    8.96% |
| AME      | Ametek                 |   237.76 |   261.16 |    8.96% |
| FDX      | FedEx                  |   314.13 |   345.37 |    9.05% |
| GWW      | W. W. Grainger         |  1289.17 |  1419.91 |    9.21% |
| BKR      | Baker Hughes           |    63.92 |    70.41 |    9.22% |
| REG      | Regency Centers        |    75.93 |    83.66 |    9.24% |
| ANET     | Arista Networks        |   194.96 |   214.89 |    9.27% |
| D        | Dominion Energy        |    66.22 |    72.99 |    9.28% |
| MMM      | 3M                     |   167.52 |   184.90 |    9.40% |
| OMC      | Omnicom Group          |    81.13 |    89.57 |    9.42% |
| FTNT     | Fortinet               |   157.47 |   173.89 |    9.44% |
| KEY      | KeyCorp                |    21.79 |    24.07 |    9.47% |
| NTAP     | NetApp                 |   189.13 |   209.06 |    9.53% |
| VTRS     | Viatris                |    16.61 |    18.39 |    9.68% |
| VRSN     | Verisign               |   282.20 |   312.48 |    9.69% |
| PLD      | Prologis               |   138.48 |   153.35 |    9.70% |
| ABNB     | Airbnb                 |   174.54 |   193.45 |    9.78% |
| AEE      | Ameren                 |   106.73 |   118.32 |    9.80% |
| DUK      | Duke Energy            |   121.24 |   134.49 |    9.85% |
| LYV      | Live Nation Enterta... |   170.45 |   189.25 |    9.93% |
| EW       | Edwards Lifesciences   |    86.72 |    96.29 |    9.94% |
| WFC      | Wells Fargo            |    87.96 |    97.76 |   10.02% |
| TFC      | Truist Financial       |    50.55 |    56.20 |   10.05% |
| ECL      | Ecolab                 |   278.11 |   309.27 |   10.08% |
| OXY      | Occidental Petroleum   |    60.65 |    67.45 |   10.08% |
| PSA      | Public Storage         |   301.60 |   335.55 |   10.12% |
| GS       | Goldman Sachs          |  1036.53 |  1153.99 |   10.18% |
| O        | Realty Income          |    61.02 |    67.94 |   10.19% |
| SNA      | Snap-on                |   379.88 |   423.02 |   10.20% |
| CRWD     | CrowdStrike            |   210.02 |   233.88 |   10.20% |
| BLK      | BlackRock              |  1095.37 |  1219.94 |   10.21% |
| TROW     | T. Rowe Price          |   109.42 |   122.00 |   10.31% |
| A        | Agilent Technologies   |   146.85 |   163.75 |   10.32% |
| SWK      | Stanley Black & Decker |    93.81 |   104.68 |   10.38% |
| FFIV     | F5 Inc.                |   389.62 |   435.00 |   10.43% |
| ADP      | Automatic Data Proc... |   267.96 |   299.22 |   10.45% |
| AMZN     | Amazon                 |   256.97 |   287.20 |   10.53% |
| PAYC     | Paycom                 |   219.16 |   244.98 |   10.54% |
| L        | Loews Corporation      |   108.25 |   121.01 |   10.54% |
| DIS      | Walt Disney Company... |   105.06 |   117.51 |   10.59% |
| ACGL     | Arch Capital Group     |    95.71 |   107.09 |   10.63% |
| DOC      | Healthpeak Properties  |    20.51 |    22.95 |   10.63% |
| BALL     | Ball Corporation       |    61.02 |    68.29 |   10.65% |
| ICE      | Intercontinental Ex... |   157.76 |   176.59 |   10.66% |
| WEC      | WEC Energy Group       |   107.06 |   119.91 |   10.72% |
| PKG      | Packaging Corporati... |   231.99 |   259.98 |   10.77% |
| ROST     | Ross Stores            |   229.31 |   257.00 |   10.77% |
| AEP      | American Electric P... |   125.42 |   140.58 |   10.78% |
| MSFT     | Microsoft              |   493.95 |   553.72 |   10.79% |
| KIM      | Kimco Realty           |    23.76 |    26.65 |   10.84% |
| GD       | General Dynamics       |   356.58 |   400.00 |   10.86% |
| GL       | Globe Life             |   170.68 |   191.55 |   10.90% |
| EQR      | Equity Residential     |    63.66 |    71.50 |   10.97% |
| CL       | Colgate-Palmolive      |    88.41 |    99.33 |   10.99% |
| MCK      | McKesson Corporation   |   889.12 |   999.00 |   11.00% |
| KEYS     | Keysight Technologies  |   333.42 |   374.96 |   11.08% |
| PM       | Philip Morris Inter... |   184.73 |   207.76 |   11.08% |
| SPG      | Simon Property Group   |   211.88 |   238.50 |   11.16% |
| FE       | FirstEnergy            |    46.45 |    52.34 |   11.25% |
| KHC      | Kraft Heinz            |    24.90 |    28.09 |   11.36% |
| CNP      | CenterPoint Energy     |    40.12 |    45.26 |   11.36% |
| ITW      | Illinois Tool Works    |   268.69 |   303.16 |   11.37% |
| SYF      | Synchrony Financial    |    78.62 |    88.77 |   11.43% |
| MO       | Altria                 |    68.17 |    77.06 |   11.54% |
| VTR      | Ventas                 |    89.87 |   101.60 |   11.55% |
| GPC      | Genuine Parts Company  |   134.06 |   151.57 |   11.55% |
| AFL      | Aflac                  |   115.16 |   130.22 |   11.57% |
| WRB      | W. R. Berkley Corpo... |    69.77 |    78.96 |   11.64% |
| ETN      | Eaton Corporation      |   422.13 |   478.00 |   11.69% |
| AMT      | American Tower         |   175.73 |   199.13 |   11.75% |
| SO       | Southern Company       |    88.99 |   100.84 |   11.75% |
| PNW      | Pinnacle West          |    98.04 |   111.16 |   11.80% |
| TT       | Trane Technologies     |   446.00 |   505.87 |   11.84% |
| ZBH      | Zimmer Biomet          |    94.22 |   106.88 |   11.85% |
| DTE      | DTE Energy             |   137.26 |   155.75 |   11.87% |
| MCO      | Moody's Corporation    |   481.25 |   546.88 |   12.00% |
| PCAR     | Paccar                 |   122.50 |   139.24 |   12.02% |
| AMGN     | Amgen                  |   393.17 |   447.03 |   12.05% |
| YUM      | Yum! Brands            |   149.51 |   170.14 |   12.13% |
| WM       | Waste Management       |   217.78 |   248.13 |   12.23% |
| GRMN     | Garmin                 |   275.68 |   314.28 |   12.28% |
| MAA      | Mid-America Apartme... |   127.89 |   145.80 |   12.28% |
| EBAY     | eBay                   |   104.59 |   119.31 |   12.34% |
| RTX      | RTX Corporation        |   198.81 |   226.88 |   12.37% |
| EXR      | Extra Space Storage    |   139.16 |   158.88 |   12.41% |
| FTV      | Fortive                |    56.51 |    64.56 |   12.47% |
| WST      | West Pharmaceutical... |   337.75 |   386.00 |   12.50% |
| PPL      | PPL Corporation        |    35.08 |    40.11 |   12.54% |
| CI       | Cigna                  |   275.83 |   315.47 |   12.57% |
| CPT      | Camden Property Trust  |   104.71 |   119.81 |   12.60% |
| ATO      | Atmos Energy           |   168.07 |   192.51 |   12.70% |
| HPE      | Hewlett Packard Ent... |    56.03 |    64.25 |   12.79% |
| DLTR     | Dollar Tree            |   124.04 |   142.40 |   12.89% |
| LNT      | Alliant Energy         |    68.61 |    78.81 |   12.94% |
| AMCR     | Amcor                  |    44.34 |    50.94 |   12.96% |
| PG       | Procter & Gamble       |   145.58 |   167.25 |   12.96% |
| VLTO     | Veralto                |    95.53 |   109.86 |   13.04% |
| LLY      | Lilly (Eli)            |  1123.91 |  1292.65 |   13.05% |
| SYY      | Sysco                  |    79.84 |    91.85 |   13.08% |
| MTD      | Mettler Toledo         |  1325.52 |  1525.17 |   13.09% |
| PH       | Parker Hannifin        |   955.87 |  1099.94 |   13.10% |
| MDT      | Medtronic              |    92.39 |   106.33 |   13.11% |
| UNH      | UnitedHealth Group     |   400.84 |   461.62 |   13.17% |
| CINF     | Cincinnati Financial   |   169.14 |   194.81 |   13.18% |
| CVS      | CVS Health             |    96.07 |   110.68 |   13.20% |
| EXC      | Exelon                 |    43.95 |    50.65 |   13.23% |
| TDY      | Teledyne Technologies  |   605.08 |   697.67 |   13.27% |
| AMD      | Advanced Micro Devices |   505.74 |   584.73 |   13.51% |
| SHW      | Sherwin-Williams       |   326.09 |   377.77 |   13.68% |
| CMG      | Chipotle Mexican Grill |    36.96 |    42.82 |   13.69% |
| ROK      | Rockwell Automation    |   429.13 |   497.36 |   13.72% |
| IRM      | Iron Mountain          |   116.08 |   134.68 |   13.81% |
| GE       | GE Aerospace           |   334.91 |   388.84 |   13.87% |
| HBAN     | Huntington Bancshares  |    16.76 |    19.46 |   13.87% |
| URI      | United Rentals         |  1015.17 |  1179.18 |   13.91% |
| PGR      | Progressive Corpora... |   214.90 |   249.71 |   13.94% |
| MNST     | Monster Beverage       |    43.15 |    50.17 |   13.99% |
| COR      | Cencora                |   324.69 |   377.54 |   14.00% |
| PAYX     | Paychex                |   116.93 |   135.97 |   14.00% |
| UDR      | UDR Inc.               |    36.11 |    42.00 |   14.02% |
| T        | AT&T                   |    25.60 |    29.79 |   14.07% |
| HST      | Host Hotels & Resorts  |    22.07 |    25.71 |   14.16% |
| J        | Jacobs Solutions       |   144.27 |   168.44 |   14.35% |
| CMS      | CMS Energy             |    68.79 |    80.36 |   14.40% |
| AIG      | American Internatio... |    74.68 |    87.29 |   14.45% |
| AVY      | Avery Dennison         |   170.70 |   199.54 |   14.45% |
