+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 10/09/2026 | Processed entries: 485                      |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
|     97,727,700,992 | TT       | Trane Technologies             |
|     96,770,580,480 | USB      | U.S. Bancorp                   |
|     96,136,536,064 | KKR      | KKR                            |
|     96,021,757,952 | PNC      | PNC Financial Services         |
|     95,417,409,536 | GD       | General Dynamics               |
|     94,262,296,576 | PWR      | Quanta Services                |
|     93,899,538,432 | DUK      | Duke Energy                    |
|     92,769,181,696 | HWM      | Howmet Aerospace               |
|     91,921,039,360 | WMB      | Williams Companies             |
|     91,326,824,448 | HCA      | HCA Healthcare                 |
|     89,604,210,688 | CSX      | CSX Corporation                |
|     87,858,241,536 | ICE      | Intercontinental Exchange      |
|     87,784,046,592 | JCI      | Johnson Controls               |
|     87,260,979,200 | CMCSA    | Comcast                        |
|     86,514,360,320 | WM       | Waste Management               |
|     86,449,233,920 | MAR      | Marriott International         |
|     86,075,424,768 | ELV      | Elevance Health                |
|     85,874,204,672 | INTU     | Intuit                         |
|     84,784,766,976 | MMM      | 3M                             |
|     84,670,373,888 | SLB      | Schlumberger                   |
|     84,414,545,920 | UPS      | United Parcel Service          |
|     83,925,778,432 | MNST     | Monster Beverage               |
|     83,859,652,608 | EMR      | Emerson Electric               |
|     83,151,601,664 | REGN     | Regeneron Pharmaceuticals      |
|     82,186,502,144 | MCO      | Moody's Corporation            |
|     81,743,372,288 | AMT      | American Tower                 |
|     80,049,913,856 | CTAS     | Cintas                         |
|     79,667,150,848 | MDLZ     | Mondelez International         |
|     78,376,845,312 | CDNS     | Cadence Design Systems         |
|     78,187,683,840 | HPE      | Hewlett Packard Enterprise     |
|     77,837,975,552 | SHW      | Sherwin-Williams               |
|     77,644,390,400 | SPG      | Simon Property Group           |
|     77,111,033,856 | EOG      | EOG Resources                  |
|     76,515,745,792 | TRV      | Travelers Companies (The)      |
|     76,370,747,392 | CMI      | Cummins                        |
|     76,308,250,624 | ECL      | Ecolab                         |
|     76,108,939,264 | MSI      | Motorola Solutions             |
|     75,756,863,488 | GM       | General Motors                 |
|     75,355,357,184 | SNPS     | Synopsys                       |
|     75,184,349,184 | ITW      | Illinois Tool Works            |
|     73,503,776,768 | CI       | Cigna                          |
|     73,243,435,008 | NOC      | Northrop Grumman               |
|     73,176,129,536 | FDX      | FedEx                          |
|     72,615,878,656 | NSC      | Norfolk Southern Railway       |
|     72,262,361,088 | ROST     | Ross Stores                    |
|     71,560,822,784 | TGT      | Target Corporation             |
|     71,408,656,384 | DLR      | Digital Realty                 |
|     70,175,121,408 | CL       | Colgate-Palmolive              |
