+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 10/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
| WELL     | Welltower              |   235.90 |   255.20 |    7.56% |
| EQIX     | Equinix                |  1043.06 |  1128.68 |    7.59% |
| CNC      | Centene Corporation    |    64.06 |    69.36 |    7.64% |
| KMX      | CarMax                 |    60.29 |    65.28 |    7.64% |
| IEX      | IDEX Corporation       |   225.10 |   243.80 |    7.67% |
| JCI      | Johnson Controls       |   144.92 |   157.06 |    7.73% |
| CB       | Chubb Limited          |   337.62 |   365.91 |    7.73% |
| AIZ      | Assurant               |   280.44 |   303.94 |    7.73% |
| TGT      | Target Corporation     |   157.52 |   170.75 |    7.75% |
| FAST     | Fastenal               |    48.79 |    52.92 |    7.80% |
| CFG      | Citizens Financial ... |    69.37 |    75.33 |    7.91% |
| NUE      | Nucor                  |   257.91 |   280.11 |    7.93% |
| PRU      | Prudential Financial   |   117.59 |   127.72 |    7.93% |
| RF       | Regions Financial C... |    29.89 |    32.47 |    7.95% |
| TRV      | Travelers Companies... |   366.85 |   398.70 |    7.99% |
| ES       | Eversource Energy      |    70.44 |    76.57 |    8.01% |
| VRSN     | Verisign               |   286.94 |   312.48 |    8.17% |
| CRL      | Charles River Labor... |   278.35 |   303.31 |    8.23% |
| WFC      | Wells Fargo            |    89.67 |    97.76 |    8.28% |
| EG       | Everest Group          |   367.87 |   401.07 |    8.28% |
| HPE      | Hewlett Packard Ent... |    58.90 |    64.25 |    8.33% |
| EVRG     | Evergy                 |    81.22 |    88.62 |    8.35% |
| BG       | Bunge Global           |   123.50 |   134.87 |    8.43% |
| AAPL     | Apple Inc.             |   315.34 |   344.57 |    8.48% |
| ALL      | Allstate               |   253.58 |   277.22 |    8.53% |
| WAB      | Wabtec                 |   280.47 |   306.64 |    8.53% |
| CTAS     | Cintas                 |   200.04 |   219.17 |    8.73% |
| INVH     | Invitation Homes       |    28.18 |    30.89 |    8.78% |
| GM       | General Motors         |    83.76 |    91.85 |    8.81% |
| MHK      | Mohawk Industries      |   127.94 |   140.30 |    8.81% |
| DRI      | Darden Restaurants     |   209.42 |   229.76 |    8.85% |
| APH      | Amphenol               |    81.34 |    89.26 |    8.87% |
| FITB     | Fifth Third Bancorp    |    54.19 |    59.50 |    8.92% |
| ELV      | Elevance Health        |   396.90 |   436.24 |    9.02% |
| OXY      | Occidental Petroleum   |    61.30 |    67.45 |    9.12% |
| DLR      | Digital Realty         |   189.08 |   208.14 |    9.16% |
| GPN      | Global Payments        |    87.02 |    95.88 |    9.24% |
| SJM      | J.M. Smucker Compan... |   123.31 |   135.89 |    9.26% |
| CRM      | Salesforce             |   244.16 |   269.11 |    9.27% |
| DXCM     | Dexcom                 |    83.88 |    92.59 |    9.41% |
| SBUX     | Starbucks              |   100.04 |   110.51 |    9.47% |
| ETR      | Entergy                |   107.17 |   118.45 |    9.52% |
| AME      | Ametek                 |   236.27 |   261.16 |    9.53% |
| XEL      | Xcel Energy            |    76.19 |    84.23 |    9.55% |
| ESS      | Essex Property Trust   |   274.37 |   303.35 |    9.55% |
| FTNT     | Fortinet               |   157.22 |   173.89 |    9.59% |
| BKR      | Baker Hughes           |    63.64 |    70.41 |    9.62% |
| EMR      | Emerson Electric       |   150.34 |   166.35 |    9.62% |
| KEY      | KeyCorp                |    21.73 |    24.07 |    9.72% |
| CSX      | CSX Corporation        |    48.37 |    53.60 |    9.76% |
| KMI      | Kinder Morgan          |    31.41 |    34.81 |    9.77% |
| NSC      | Norfolk Southern Ra... |   323.30 |   358.60 |    9.84% |
| UNP      | Union Pacific Corpo... |   284.74 |   315.99 |    9.89% |
| GWW      | W. W. Grainger         |  1278.83 |  1419.91 |    9.94% |
| REG      | Regency Centers        |    75.34 |    83.66 |    9.95% |
| LYV      | Live Nation Enterta... |   169.99 |   189.25 |   10.18% |
| FRT      | Federal Realty Inve... |   115.16 |   128.21 |   10.18% |
| L        | Loews Corporation      |   108.68 |   121.01 |   10.19% |
| AEE      | Ameren                 |   106.25 |   118.32 |   10.20% |
| ANET     | Arista Networks        |   192.93 |   214.89 |   10.22% |
| CHD      | Church & Dwight        |    95.19 |   106.04 |   10.23% |
| ACGL     | Arch Capital Group     |    96.11 |   107.09 |   10.25% |
| VTRS     | Viatris                |    16.50 |    18.39 |   10.28% |
| DUK      | Duke Energy            |   120.43 |   134.49 |   10.45% |
