+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 07/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
+----------+------------------------+----------+----------+----------+
| EA       | Electronic Arts        |   209.70 |   210.20 |    0.24% |
| TECH     | Bio-Techne             |    72.43 |    72.62 |    0.26% |
| HPQ      | HP Inc.                |    32.64 |    32.78 |    0.43% |
| AVB      | AvalonBay Communities  |   184.06 |   185.62 |    0.84% |
| STT      | State Street Corpor... |   194.26 |   195.93 |    0.85% |
| BBY      | Best Buy               |    90.27 |    91.27 |    1.10% |
| VLO      | Valero Energy          |   370.72 |   375.11 |    1.17% |
| IQV      | IQVIA                  |   267.77 |   271.80 |    1.48% |
| DE       | Deere & Company        |   693.53 |   705.88 |    1.75% |
| IVZ      | Invesco                |    33.07 |    33.66 |    1.75% |
| EXPD     | Expeditors Internat... |   188.80 |   192.28 |    1.81% |
| DELL     | Dell Technologies      |   524.14 |   534.99 |    2.03% |
| JNJ      | Johnson & Johnson      |   275.23 |   281.07 |    2.08% |
| RVTY     | Revvity                |   130.22 |   133.00 |    2.09% |
| AMP      | Ameriprise Financial   |   560.56 |   572.56 |    2.10% |
| PSX      | Phillips 66            |   255.09 |   260.68 |    2.14% |
| JPM      | JPMorgan Chase         |   358.64 |   366.50 |    2.14% |
| AMGN     | Amgen                  |   437.23 |   447.03 |    2.19% |
| BIIB     | Biogen                 |   220.83 |   225.80 |    2.20% |
| COP      | ConocoPhillips         |   134.26 |   137.42 |    2.30% |
| MPC      | Marathon Petroleum     |   388.90 |   398.52 |    2.41% |
| RJF      | Raymond James Finan... |   178.29 |   182.73 |    2.43% |
| VRTX     | Vertex Pharmaceuticals |   546.12 |   560.25 |    2.52% |
| HSIC     | Henry Schein           |    89.81 |    92.18 |    2.57% |
| CPAY     | Corpay                 |   416.37 |   427.46 |    2.59% |
| PFE      | Pfizer                 |    28.45 |    29.21 |    2.60% |
| NVDA     | Nvidia                 |   230.36 |   236.54 |    2.61% |
| SOLV     | Solventum              |    91.69 |    94.16 |    2.62% |
| BMY      | Bristol Myers Squibb   |    66.82 |    68.64 |    2.65% |
| V        | Visa Inc.              |   375.07 |   385.57 |    2.72% |
| CVX      | Chevron Corporation    |   208.60 |   214.71 |    2.85% |
| VZ       | Verizon                |    50.14 |    51.68 |    2.98% |
| KMX      | CarMax                 |    63.29 |    65.28 |    3.05% |
| GEN      | Gen Digital            |    30.65 |    31.65 |    3.16% |
| MET      | MetLife                |    97.62 |   100.93 |    3.28% |
| IFF      | International Flavo... |    86.35 |    89.32 |    3.33% |
| CNC      | Centene Corporation    |    67.04 |    69.36 |    3.34% |
| AWK      | American Water Works   |   140.70 |   145.64 |    3.39% |
| CTVA     | Corteva                |    87.86 |    90.97 |    3.42% |
| GPN      | Global Payments        |    92.54 |    95.88 |    3.48% |
| KDP      | Keurig Dr Pepper       |    32.59 |    33.82 |    3.64% |
| CRM      | Salesforce             |   259.23 |   269.11 |    3.67% |
| REGN     | Regeneron Pharmaceu... |   827.72 |   859.34 |    3.68% |
| TGT      | Target Corporation     |   164.44 |   170.75 |    3.70% |
| MTCH     | Match Group            |    41.86 |    43.47 |    3.70% |
| PFG      | Principal Financial... |   116.68 |   121.18 |    3.71% |
| MA       | Mastercard             |   579.21 |   601.62 |    3.72% |
| CZR      | Caesars Entertainment  |    29.68 |    30.88 |    3.89% |
| BAC      | Bank of America        |    62.68 |    65.23 |    3.91% |
| WAT      | Waters Corporation     |   409.38 |   426.22 |    3.95% |
| GILD     | Gilead Sciences        |   151.00 |   157.29 |    4.00% |
| NWSA     | News Corp (Class A)    |    30.39 |    31.66 |    4.01% |
| DGX      | Quest Diagnostics      |   237.14 |   247.19 |    4.07% |
| USB      | U.S. Bancorp           |    63.37 |    66.08 |    4.10% |
| ABBV     | AbbVie                 |   256.46 |   267.47 |    4.12% |
| MRK      | Merck & Co.            |   150.33 |   156.92 |    4.20% |
| BEN      | Franklin Resources     |    34.73 |    36.28 |    4.27% |
| CAH      | Cardinal Health        |   247.18 |   258.30 |    4.31% |
| BDX      | Becton Dickinson       |   184.74 |   193.07 |    4.31% |
| APD      | Air Products           |   301.27 |   314.87 |    4.32% |
| ADM      | Archer Daniels Midland |    84.61 |    88.46 |    4.35% |
| LH       | LabCorp                |   326.89 |   341.80 |    4.36% |
| INCY     | Incyte                 |   126.75 |   132.60 |    4.41% |
| OKE      | ONEOK                  |    95.43 |    99.85 |    4.43% |
| GM       | General Motors         |    87.76 |    91.85 |    4.45% |
| PRU      | Prudential Financial   |   122.02 |   127.72 |    4.46% |
| SCHW     | Charles Schwab Corp... |   109.29 |   114.53 |    4.58% |
| TFX      | Teleflex               |   138.36 |   145.00 |    4.58% |
| RSG      | Republic Services      |   222.71 |   233.42 |    4.59% |
| NTRS     | Northern Trust         |   186.63 |   195.78 |    4.67% |
| MHK      | Mohawk Industries      |   133.63 |   140.30 |    4.75% |
| KO       | Coca-Cola Company (... |    88.07 |    92.49 |    4.78% |
| NDAQ     | Nasdaq Inc.            |    96.88 |   101.79 |    4.82% |
| SLB      | Schlumberger           |    57.51 |    60.46 |    4.88% |
| CRL      | Charles River Labor... |   288.50 |   303.31 |    4.88% |
| EG       | Everest Group          |   380.87 |   401.07 |    5.04% |
| DXCM     | Dexcom                 |    87.90 |    92.59 |    5.07% |
| WTW      | Willis Towers Watson   |   334.74 |   352.79 |    5.12% |
| TMO      | Thermo Fisher Scien... |   613.78 |   647.00 |    5.13% |
| PNC      | PNC Financial Services |   245.60 |   258.96 |    5.16% |
| NWS      | News Corp (Class B)    |    33.90 |    35.76 |    5.20% |
| HIG      | Hartford (The)         |   138.37 |   146.07 |    5.27% |
| NEM      | Newmont                |   128.09 |   135.29 |    5.32% |
| MSI      | Motorola Solutions     |   468.05 |   494.85 |    5.42% |
| PAYC     | Paycom                 |   231.67 |   244.98 |    5.43% |
| SBUX     | Starbucks              |   104.47 |   110.51 |    5.47% |
| EOG      | EOG Resources          |   145.19 |   153.67 |    5.52% |
| DRI      | Darden Restaurants     |   216.88 |   229.76 |    5.61% |
| TRGP     | Targa Resources        |   290.05 |   307.94 |    5.81% |
| WBD      | Warner Bros. Discovery |    28.25 |    30.00 |    5.83% |
| ABNB     | Airbnb                 |   181.94 |   193.45 |    5.95% |
| AIZ      | Assurant               |   285.74 |   303.94 |    5.99% |
| CFG      | Citizens Financial ... |    70.78 |    75.33 |    6.04% |
| CF       | CF Industries          |   133.35 |   141.96 |    6.07% |
| QRVO     | Qorvo                  |   102.84 |   109.49 |    6.07% |
| ZBRA     | Zebra Technologies     |   362.74 |   386.23 |    6.08% |
| NDSN     | Nordson Corporation    |   318.36 |   339.12 |    6.12% |
| MS       | Morgan Stanley         |   217.72 |   232.25 |    6.26% |
| FAST     | Fastenal               |    49.60 |    52.92 |    6.27% |
| MTB      | M&T Bank               |   239.84 |   255.95 |    6.29% |
| RF       | Regions Financial C... |    30.42 |    32.47 |    6.31% |
| APA      | APA Corporation        |    42.77 |    45.66 |    6.33% |
| ALL      | Allstate               |   259.57 |   277.22 |    6.37% |
| HUM      | Humana                 |   401.54 |   428.88 |    6.37% |
| VRSN     | Verisign               |   292.08 |   312.48 |    6.53% |
| ELV      | Elevance Health        |   407.50 |   436.24 |    6.59% |
| FDX      | FedEx                  |   322.52 |   345.37 |    6.62% |
| EW       | Edwards Lifesciences   |    89.90 |    96.29 |    6.64% |
| CB       | Chubb Limited          |   341.59 |   365.91 |    6.65% |
| GWW      | W. W. Grainger         |  1324.49 |  1419.91 |    6.72% |
| NUE      | Nucor                  |   261.07 |   280.11 |    6.80% |
| KVUE     | Kenvue                 |    18.74 |    20.13 |    6.91% |
| C        | Citigroup              |   137.72 |   147.96 |    6.92% |
| SWK      | Stanley Black & Decker |    97.36 |   104.68 |    6.99% |
| CHD      | Church & Dwight        |    98.55 |   106.04 |    7.06% |
| AAPL     | Apple Inc.             |   319.97 |   344.57 |    7.14% |
| ES       | Eversource Energy      |    71.05 |    76.57 |    7.21% |
| ADP      | Automatic Data Proc... |   277.62 |   299.22 |    7.22% |
| SJM      | J.M. Smucker Compan... |   126.08 |   135.89 |    7.22% |
| APH      | Amphenol               |    82.78 |    89.26 |    7.26% |
| TRV      | Travelers Companies... |   369.35 |   398.70 |    7.36% |
| WMB      | Williams Companies     |    74.15 |    80.08 |    7.41% |
| WELL     | Welltower              |   236.17 |   255.20 |    7.46% |
| ED       | Consolidated Edison    |   107.29 |   116.23 |    7.69% |
| DLTR     | Dollar Tree            |   131.42 |   142.40 |    7.71% |
| JCI      | Johnson Controls       |   144.94 |   157.06 |    7.72% |
| WAB      | Wabtec                 |   282.86 |   306.64 |    7.76% |
| OMC      | Omnicom Group          |    82.62 |    89.57 |    7.76% |
| FITB     | Fifth Third Bancorp    |    54.87 |    59.50 |    7.78% |
| CSX      | CSX Corporation        |    49.41 |    53.60 |    7.82% |
| KEY      | KeyCorp                |    22.18 |    24.07 |    7.85% |
| A        | Agilent Technologies   |   150.86 |   163.75 |    7.87% |
| WFC      | Wells Fargo            |    89.97 |    97.76 |    7.97% |
| EVRG     | Evergy                 |    81.54 |    88.62 |    7.99% |
| BLK      | BlackRock              |  1122.29 |  1219.94 |    8.00% |
| MDLZ     | Mondelez International |    61.28 |    66.65 |    8.06% |
| TFC      | Truist Financial       |    51.65 |    56.20 |    8.10% |
| INVH     | Invitation Homes       |    28.39 |    30.89 |    8.10% |
| NSC      | Norfolk Southern Ra... |   329.46 |   358.60 |    8.13% |
| EMR      | Emerson Electric       |   152.82 |   166.35 |    8.13% |
| FANG     | Diamondback Energy     |   199.22 |   216.90 |    8.15% |
| ESS      | Essex Property Trust   |   278.61 |   303.35 |    8.16% |
| VTRS     | Viatris                |    16.88 |    18.39 |    8.21% |
| EQIX     | Equinix                |  1035.98 |  1128.68 |    8.21% |
| IEX      | IDEX Corporation       |   223.74 |   243.80 |    8.23% |
| BALL     | Ball Corporation       |    62.67 |    68.29 |    8.23% |
| ZBH      | Zimmer Biomet          |    98.07 |   106.88 |    8.24% |
| LYV      | Live Nation Enterta... |   173.50 |   189.25 |    8.32% |
| UNP      | Union Pacific Corpo... |   289.62 |   315.99 |    8.35% |
| ACGL     | Arch Capital Group     |    98.10 |   107.09 |    8.39% |
| CTAS     | Cintas                 |   200.47 |   219.17 |    8.53% |
| JBHT     | J.B. Hunt              |   273.77 |   299.76 |    8.67% |
| FRT      | Federal Realty Inve... |   117.09 |   128.21 |    8.67% |
| ICE      | Intercontinental Ex... |   161.26 |   176.59 |    8.68% |
| PKG      | Packaging Corporati... |   237.25 |   259.98 |    8.74% |
| DVN      | Devon Energy           |    48.06 |    52.71 |    8.82% |
| MMM      | 3M                     |   168.56 |   184.90 |    8.84% |
| CRWD     | CrowdStrike            |   213.10 |   233.88 |    8.88% |
| GPC      | Genuine Parts Company  |   138.08 |   151.57 |    8.90% |
| AME      | Ametek                 |   237.72 |   261.16 |    8.98% |
| GL       | Globe Life             |   174.27 |   191.55 |    9.02% |
| MCK      | McKesson Corporation   |   907.99 |   999.00 |    9.11% |
| FCX      | Freeport-McMoRan       |    72.73 |    80.24 |    9.36% |
| ETR      | Entergy                |   107.27 |   118.45 |    9.44% |
| SNA      | Snap-on                |   383.00 |   423.02 |    9.46% |
| DLR      | Digital Realty         |   188.39 |   208.14 |    9.49% |
| XOM      | ExxonMobil             |   159.47 |   176.41 |    9.60% |
| L        | Loews Corporation      |   109.30 |   121.01 |    9.68% |
| ECL      | Ecolab                 |   279.28 |   309.27 |    9.70% |
| MCO      | Moody's Corporation    |   493.55 |   546.88 |    9.75% |
| MSFT     | Microsoft              |   499.70 |   553.72 |    9.76% |
| D        | Dominion Energy        |    65.84 |    72.99 |    9.80% |
| KMI      | Kinder Morgan          |    31.40 |    34.81 |    9.80% |
| BKR      | Baker Hughes           |    63.50 |    70.41 |    9.81% |
| ANET     | Arista Networks        |   193.78 |   214.89 |    9.82% |
| O        | Realty Income          |    61.25 |    67.94 |    9.85% |
| SYF      | Synchrony Financial    |    79.92 |    88.77 |    9.97% |
| AMZN     | Amazon                 |   258.51 |   287.20 |    9.99% |
| AFL      | Aflac                  |   117.21 |   130.22 |    9.99% |
| PSA      | Public Storage         |   302.01 |   335.55 |   10.00% |
| GS       | Goldman Sachs          |  1038.61 |  1153.99 |   10.00% |
| AEE      | Ameren                 |   106.47 |   118.32 |   10.02% |
| TROW     | T. Rowe Price          |   109.78 |   122.00 |   10.02% |
| DOC      | Healthpeak Properties  |    20.65 |    22.95 |   10.02% |
| REG      | Regency Centers        |    75.26 |    83.66 |   10.04% |
| XEL      | Xcel Energy            |    75.72 |    84.23 |   10.10% |
| FTNT     | Fortinet               |   156.29 |   173.89 |   10.12% |
| GD       | General Dynamics       |   359.39 |   400.00 |   10.15% |
| FFIV     | F5 Inc.                |   390.47 |   435.00 |   10.24% |
| ROST     | Ross Stores            |   230.69 |   257.00 |   10.24% |
| PLD      | Prologis               |   137.34 |   153.35 |   10.44% |
| PCAR     | Paccar                 |   124.70 |   139.24 |   10.44% |
| CI       | Cigna                  |   282.52 |   315.47 |   10.44% |
| PAYX     | Paychex                |   121.71 |   136.05 |   10.54% |
| DUK      | Duke Energy            |   120.22 |   134.49 |   10.61% |
| MO       | Altria                 |    68.88 |    77.06 |   10.62% |
| CL       | Colgate-Palmolive      |    88.77 |    99.33 |   10.63% |
| FE       | FirstEnergy            |    46.77 |    52.34 |   10.64% |
| ITW      | Illinois Tool Works    |   270.12 |   303.16 |   10.90% |
| EQR      | Equity Residential     |    63.66 |    71.50 |   10.97% |
| OXY      | Occidental Petroleum   |    60.04 |    67.45 |   10.99% |
| LLY      | Lilly (Eli)            |  1149.36 |  1292.65 |   11.08% |
| MSCI     | MSCI                   |   573.01 |   644.77 |   11.13% |
| VTR      | Ventas                 |    90.27 |   101.60 |   11.15% |
| CDW      | CDW                    |   152.38 |   171.55 |   11.17% |
| NTAP     | NetApp                 |   185.59 |   209.06 |   11.23% |
| AMCR     | Amcor                  |    45.15 |    50.94 |   11.37% |
| YUM      | Yum! Brands            |   150.71 |   170.14 |   11.42% |
| MDT      | Medtronic              |    94.17 |   106.33 |   11.44% |
| AEP      | American Electric P... |   124.50 |   140.58 |   11.44% |
| KIM      | Kimco Realty           |    23.60 |    26.65 |   11.44% |
| TT       | Trane Technologies     |   447.90 |   505.87 |   11.46% |
| RTX      | RTX Corporation        |   200.79 |   226.88 |   11.50% |
| KHC      | Kraft Heinz            |    24.85 |    28.09 |   11.53% |
| DIS      | Walt Disney Company... |   105.31 |   119.05 |   11.54% |
| WEC      | WEC Energy Group       |   105.94 |   119.91 |   11.65% |
| SHW      | Sherwin-Williams       |   333.71 |   377.77 |   11.66% |
| AMT      | American Tower         |   175.85 |   199.13 |   11.69% |
| WM       | Waste Management       |   218.99 |   248.13 |   11.74% |
| CPT      | Camden Property Trust  |   105.69 |   119.81 |   11.79% |
| MTD      | Mettler Toledo         |  1345.26 |  1525.17 |   11.80% |
| FTV      | Fortive                |    56.94 |    64.56 |   11.80% |
| GRMN     | Garmin                 |   277.03 |   314.28 |   11.85% |
| WST      | West Pharmaceutical... |   339.97 |   386.00 |   11.92% |
| BG       | Bunge Global           |   118.71 |   134.87 |   11.98% |
| MAA      | Mid-America Apartme... |   128.32 |   145.80 |   11.99% |
| PM       | Philip Morris Inter... |   182.53 |   207.76 |   12.14% |
| CINF     | Cincinnati Financial   |   171.10 |   194.81 |   12.17% |
| SPG      | Simon Property Group   |   209.44 |   238.50 |   12.18% |
| AVY      | Avery Dennison         |   175.06 |   199.54 |   12.27% |
| PNW      | Pinnacle West          |    97.52 |   111.16 |   12.27% |
| PGR      | Progressive Corpora... |   218.95 |   249.71 |   12.32% |
| VLTO     | Veralto                |    96.31 |   109.86 |   12.33% |
| COR      | Cencora                |   330.95 |   377.54 |   12.34% |
| CNP      | CenterPoint Energy     |    39.67 |    45.26 |   12.35% |
| EXR      | Extra Space Storage    |   139.25 |   158.88 |   12.36% |
| WRB      | W. R. Berkley Corpo... |    69.14 |    78.96 |   12.44% |
| PG       | Procter & Gamble       |   146.44 |   167.25 |   12.44% |
| PPL      | PPL Corporation        |    35.11 |    40.11 |   12.47% |
| TDY      | Teledyne Technologies  |   610.65 |   697.67 |   12.47% |
| PH       | Parker Hannifin        |   962.59 |  1099.94 |   12.49% |
| HBAN     | Huntington Bancshares  |    17.03 |    19.46 |   12.49% |
| CVS      | CVS Health             |    96.74 |   110.68 |   12.59% |
| SO       | Southern Company       |    88.11 |   100.84 |   12.62% |
| DTE      | DTE Energy             |   136.08 |   155.75 |   12.63% |
| MNST     | Monster Beverage       |    43.82 |    50.17 |   12.66% |
| AIG      | American Internatio... |    76.21 |    87.29 |   12.69% |
| KEYS     | Keysight Technologies  |   327.21 |   374.96 |   12.74% |
| ROK      | Rockwell Automation    |   433.81 |   497.36 |   12.78% |
| SYY      | Sysco                  |    80.05 |    91.85 |   12.85% |
| EXPE     | Expedia Group          |   298.04 |   342.00 |   12.85% |
| LIN      | Linde plc              |   477.57 |   548.20 |   12.88% |
| SW       | Smurfit WestRock       |    45.83 |    52.65 |   12.95% |
| ATO      | Atmos Energy           |   167.56 |   192.51 |   12.96% |
| HLT      | Hilton Worldwide       |   311.18 |   358.00 |   13.08% |
| MAS      | Masco                  |    72.70 |    83.64 |   13.08% |
| J        | Jacobs Solutions       |   146.23 |   168.44 |   13.19% |
| IRM      | Iron Mountain          |   116.86 |   134.68 |   13.23% |
| GE       | GE Aerospace           |   337.12 |   388.84 |   13.30% |
| EBAY     | eBay                   |   103.41 |   119.31 |   13.33% |
| UDR      | UDR Inc.               |    36.38 |    42.00 |   13.38% |
| HAS      | Hasbro                 |    92.53 |   106.98 |   13.51% |
| CMG      | Chipotle Mexican Grill |    36.96 |    42.82 |   13.69% |
| LNT      | Alliant Energy         |    67.97 |    78.81 |   13.75% |
| T        | AT&T                   |    25.68 |    29.79 |   13.80% |
| EXC      | Exelon                 |    43.64 |    50.65 |   13.84% |
