+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 11/09/2026 | Processed entries: 485                      |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
|     97,237,991,424 | USB      | U.S. Bancorp                   |
|     96,935,329,792 | PNC      | PNC Financial Services         |
|     96,772,792,320 | TT       | Trane Technologies             |
|     95,844,884,480 | GD       | General Dynamics               |
|     93,162,577,920 | KKR      | KKR                            |
|     93,073,055,744 | DUK      | Duke Energy                    |
|     93,021,962,240 | PWR      | Quanta Services                |
|     91,192,598,528 | HCA      | HCA Healthcare                 |
|     90,890,829,824 | HWM      | Howmet Aerospace               |
|     90,845,372,416 | CSX      | CSX Corporation                |
|     90,334,740,480 | ELV      | Elevance Health                |
|     89,319,186,432 | CMCSA    | Comcast                        |
|     89,071,058,944 | WMB      | Williams Companies             |
|     87,470,874,624 | ICE      | Intercontinental Exchange      |
|     86,505,930,752 | JCI      | Johnson Controls               |
|     85,846,835,200 | WM       | Waste Management               |
|     85,810,364,416 | MAR      | Marriott International         |
|     85,554,159,616 | INTU     | Intuit                         |
|     85,052,637,184 | UPS      | United Parcel Service          |
|     84,415,545,344 | MNST     | Monster Beverage               |
|     83,990,552,576 | MMM      | 3M                             |
|     83,126,861,824 | SLB      | Schlumberger                   |
|     82,760,785,920 | EMR      | Emerson Electric               |
|     81,670,078,464 | REGN     | Regeneron Pharmaceuticals      |
|     80,937,869,312 | MCO      | Moody's Corporation            |
|     80,601,767,936 | AMT      | American Tower                 |
|     79,730,966,528 | MDLZ     | Mondelez International         |
|     79,409,651,712 | CTAS     | Cintas                         |
|     78,473,232,384 | CDNS     | Cadence Design Systems         |
|     77,891,371,008 | GM       | General Motors                 |
|     77,697,540,096 | SPG      | Simon Property Group           |
|     77,347,078,144 | EOG      | EOG Resources                  |
|     77,061,144,576 | SHW      | Sherwin-Williams               |
|     76,769,263,616 | MSI      | Motorola Solutions             |
|     76,663,832,576 | TRV      | Travelers Companies (The)      |
|     76,137,250,816 | ECL      | Ecolab                         |
|     76,112,330,752 | SNPS     | Synopsys                       |
|     75,719,598,080 | CMI      | Cummins                        |
|     75,528,962,048 | ITW      | Illinois Tool Works            |
|     74,227,793,920 | CI       | Cigna                          |
|     73,793,839,104 | FDX      | FedEx                          |
|     73,723,609,088 | NOC      | Northrop Grumman               |
|     73,302,605,824 | HPE      | Hewlett Packard Enterprise     |
|     72,615,878,656 | NSC      | Norfolk Southern Railway       |
|     72,329,715,712 | ROST     | Ross Stores                    |
|     70,747,627,520 | TGT      | Target Corporation             |
|     70,701,260,800 | WBD      | Warner Bros. Discovery         |
|     70,071,492,608 | CL       | Colgate-Palmolive              |
|     70,007,521,280 | DLR      | Digital Realty                 |
|     69,272,764,416 | RCL      | Royal Caribbean Group          |
|     69,174,239,232 | ORLY     | O'Reilly Auto Parts            |
|     68,923,875,328 | HLT      | Hilton Worldwide               |
|     68,919,525,376 | KMI      | Kinder Morgan                  |
|     67,697,569,792 | RSG      | Republic Services              |
|     67,216,744,448 | AEP      | American Electric Power        |
|     65,391,607,808 | APD      | Air Products                   |
|     65,285,844,992 | AON      | Aon                            |
|     64,516,554,752 | PCAR     | Paccar                         |
|     64,078,925,824 | HON      | Honeywell                      |
|     63,667,101,696 | ALL      | Allstate                       |
|     62,594,560,000 | TRGP     | Targa Resources                |
|     62,461,792,256 | BSX      | Boston Scientific              |
|     62,370,324,480 | AJG      | Arthur J. Gallagher & Co.      |
|     62,290,010,112 | TDG      | TransDigm Group                |
|     61,562,802,176 | URI      | United Rentals                 |
|     61,501,456,384 | MET      | MetLife                        |
|     61,484,449,792 | TFC      | Truist Financial               |
|     61,245,980,672 | COR      | Cencora                        |
|     61,137,821,696 | OXY      | Occidental Petroleum           |
|     60,338,987,008 | OKE      | ONEOK                          |
|     59,888,377,856 | GWW      | W. W. Grainger                 |
|     59,243,089,920 | TEL      | TE Connectivity                |
|     58,964,840,448 | BKR      | Baker Hughes                   |
|     58,287,525,888 | MPWR     | Monolithic Power Systems       |
|     57,957,662,720 | NUE      | Nucor                          |
|     57,875,783,680 | TER      | Teradyne                       |
|     57,513,263,104 | FANG     | Diamondback Energy             |
|     57,388,769,280 | AFL      | Aflac                          |
|     57,213,165,568 | D        | Dominion Energy                |
|     57,106,358,272 | NXPI     | NXP Semiconductors             |
|     56,371,392,512 | CTVA     | Corteva                        |
|     56,366,206,976 | O        | Realty Income                  |
|     56,238,854,144 | FAST     | Fastenal                       |
|     55,440,203,776 | KEYS     | Keysight Technologies          |
|     55,347,830,784 | F        | Ford Motor Company             |
|     55,046,684,672 | PSA      | Public Storage                 |
|     55,022,002,176 | DVN      | Devon Energy                   |
|     54,927,630,336 | SRE      | Sempra                         |
|     54,892,523,520 | CAH      | Cardinal Health                |
|     54,543,605,760 | MRNA     | Moderna                        |
|     54,325,723,136 | NKE      | Nike Inc.                      |
|     53,702,156,288 | AME      | Ametek                         |
|     52,925,640,704 | EA       | Electronic Arts                |
|     52,550,447,104 | STT      | State Street Corporation       |
|     52,494,462,976 | GRMN     | Garmin                         |
|     51,452,424,192 | DAL      | Delta Air Lines                |
|     51,431,505,920 | NDAQ     | Nasdaq Inc.                    |
|     50,515,415,040 | ETR      | Entergy                        |
|     50,014,224,384 | EW       | Edwards Lifesciences           |
|     49,362,161,664 | FITB     | Fifth Third Bancorp            |
|     49,355,157,504 | VST      | Vistra Corp.                   |
|     48,895,086,592 | AMP      | Ameriprise Financial           |
|     48,119,783,424 | HUM      | Humana                         |
|     48,054,480,896 | BDX      | Becton Dickinson               |
|     47,340,642,304 | WAB      | Wabtec                         |
|     47,103,676,416 | XEL      | Xcel Energy                    |
|     46,887,505,920 | ROK      | Rockwell Automation            |
|     46,738,350,080 | EBAY     | eBay                           |
|     46,689,771,520 | CARR     | Carrier Global                 |
|     46,390,870,016 | VTR      | Ventas                         |
|     46,250,123,264 | LHX      | L3Harris                       |
|     45,719,552,000 | CMG      | Chipotle Mexican Grill         |
|     45,604,618,240 | PYPL     | PayPal                         |
|     44,702,720,000 | EXC      | Exelon                         |
|     44,226,490,368 | ADSK     | Autodesk                       |
|     42,811,584,512 | KDP      | Keurig Dr Pepper               |
|     42,351,579,136 | IQV      | IQVIA                          |
|     41,887,109,120 | ADM      | Archer Daniels Midland         |
|     41,001,832,448 | PAYX     | Paychex                        |
|     40,875,601,920 | PRU      | Prudential Financial           |
|     40,567,279,616 | TTWO     | Take-Two Interactive           |
|     40,354,947,072 | A        | Agilent Technologies           |
|     39,958,495,232 | CBRE     | CBRE Group                     |
|     39,905,001,472 | IDXX     | Idexx Laboratories             |
|     39,810,519,040 | MSCI     | MSCI                           |
|     39,621,754,880 | LYV      | Live Nation Entertainment      |
|     39,471,812,608 | ED       | Consolidated Edison            |
|     39,435,370,496 | WAT      | Waters Corporation             |
|     39,434,391,552 | SYY      | Sysco                          |
|     39,267,737,600 | YUM      | Yum! Brands                    |
|     39,232,675,840 | AIG      | American International Group   |
|     38,900,535,296 | AXON     | Axon Enterprise                |
|     38,868,566,016 | MCHP     | Microchip Technology           |
|     38,430,900,224 | ROP      | Roper Technologies             |
