+=================================================================================================+
| HIGHEST LOSERS (52-WEEK METRIC)                                                                 |
| Date: 20260908 | Processed entries: 486                                                         |
+=================================================================================================+

+----------+------------------------------------------+--------------+--------------+--------------+--------------+
| Symbol   | Name                                     | Price        | 52W Low      | 52W High     | Distance     |
| L        | Loews Corporation                        |       109.30 |        95.10 |       121.01 |        9.68% |
| XOM      | ExxonMobil                               |       159.47 |       108.35 |       176.41 |        9.60% |
| DLR      | Digital Realty                           |       188.39 |       146.23 |       208.14 |        9.49% |
| SNA      | Snap-on                                  |       383.00 |       320.80 |       423.02 |        9.46% |
| ETR      | Entergy                                  |       107.27 |        86.49 |       118.45 |        9.44% |
| FCX      | Freeport-McMoRan                         |        72.73 |        35.15 |        80.24 |        9.36% |
| MCK      | McKesson Corporation                     |       907.99 |       683.38 |       999.00 |        9.11% |
| GL       | Globe Life                               |       174.27 |       127.85 |       191.55 |        9.02% |
| AME      | Ametek                                   |       237.72 |       179.24 |       261.16 |        8.98% |
| GPC      | Genuine Parts Company                    |       138.08 |        90.78 |       151.57 |        8.90% |
| CRWD     | CrowdStrike                              |       213.10 |        85.68 |       233.88 |        8.88% |
| MMM      | 3M                                       |       168.56 |       139.34 |       184.90 |        8.84% |
| DVN      | Devon Energy                             |        48.06 |        31.47 |        52.71 |        8.82% |
| PKG      | Packaging Corporation of America         |       237.25 |       191.50 |       259.98 |        8.74% |
| ICE      | Intercontinental Exchange                |       161.26 |       121.79 |       176.59 |        8.68% |
| FRT      | Federal Realty Investment Trust          |       117.09 |        90.03 |       128.21 |        8.67% |
| JBHT     | J.B. Hunt                                |       273.77 |       130.12 |       299.76 |        8.67% |
| CTAS     | Cintas                                   |       200.47 |       161.16 |       219.17 |        8.53% |
| ACGL     | Arch Capital Group                       |        98.10 |        82.45 |       107.09 |        8.39% |
| UNP      | Union Pacific Corporation                |       289.62 |       210.84 |       315.99 |        8.35% |
| LYV      | Live Nation Entertainment                |       173.50 |       125.34 |       189.25 |        8.32% |
| ZBH      | Zimmer Biomet                            |        98.07 |        79.12 |       106.88 |        8.24% |
| BALL     | Ball Corporation                         |        62.67 |        44.83 |        68.29 |        8.23% |
| IEX      | IDEX Corporation                         |       223.74 |       158.19 |       243.80 |        8.23% |
| EQIX     | Equinix                                  |      1035.98 |       720.62 |      1128.68 |        8.21% |
| VTRS     | Viatris                                  |        16.88 |         9.43 |        18.39 |        8.21% |
| ESS      | Essex Property Trust                     |       278.61 |       238.46 |       303.35 |        8.16% |
| FANG     | Diamondback Energy                       |       199.22 |       134.30 |       216.90 |        8.15% |
| EMR      | Emerson Electric                         |       152.82 |       122.64 |       166.35 |        8.13% |
| NSC      | Norfolk Southern Railway                 |       329.46 |       268.23 |       358.60 |        8.13% |
| INVH     | Invitation Homes                         |        28.39 |        24.25 |        30.89 |        8.10% |
| TFC      | Truist Financial                         |        51.65 |        40.78 |        56.20 |        8.10% |
| MDLZ     | Mondelez International                   |        61.28 |        51.20 |        66.65 |        8.06% |
| BLK      | BlackRock                                |      1122.29 |       917.39 |      1219.94 |        8.00% |
| EVRG     | Evergy                                   |        81.54 |        70.42 |        88.62 |        7.99% |
| WFC      | Wells Fargo                              |        89.97 |        72.78 |        97.76 |        7.97% |
| A        | Agilent Technologies                     |       150.86 |       108.35 |       163.75 |        7.87% |
| KEY      | KeyCorp                                  |        22.18 |        16.47 |        24.07 |        7.85% |
| CSX      | CSX Corporation                          |        49.41 |        31.80 |        53.60 |        7.82% |
| FITB     | Fifth Third Bancorp                      |        54.87 |        40.05 |        59.50 |        7.78% |
| OMC      | Omnicom Group                            |        82.62 |        66.33 |        89.57 |        7.76% |
| WAB      | Wabtec                                   |       282.86 |       184.26 |       306.64 |        7.76% |
| JCI      | Johnson Controls                         |       144.94 |       104.49 |       157.06 |        7.72% |
| DLTR     | Dollar Tree                              |       131.42 |        84.71 |       142.40 |        7.71% |
| ED       | Consolidated Edison                      |       107.29 |        94.96 |       116.23 |        7.69% |
| WELL     | Welltower                                |       236.17 |       163.75 |       255.20 |        7.46% |
| WMB      | Williams Companies                       |        74.15 |        56.19 |        80.08 |        7.41% |
| TRV      | Travelers Companies (The)                |       369.35 |       252.26 |       398.70 |        7.36% |
| APH      | Amphenol                                 |        82.78 |        55.20 |        89.26 |        7.26% |
| SJM      | J.M. Smucker Company (The)               |       126.08 |        88.25 |       135.89 |        7.22% |
| ADP      | Automatic Data Processing                |       277.62 |       188.16 |       299.22 |        7.22% |
| ES       | Eversource Energy                        |        71.05 |        62.45 |        76.57 |        7.21% |
| AAPL     | Apple Inc.                               |       319.97 |       225.95 |       344.57 |        7.14% |
| CHD      | Church & Dwight                          |        98.55 |        81.33 |       106.04 |        7.06% |
| SWK      | Stanley Black & Decker                   |        97.36 |        61.90 |       104.68 |        6.99% |
| C        | Citigroup                                |       137.72 |        93.66 |       147.96 |        6.92% |
| KVUE     | Kenvue                                   |        18.74 |        14.02 |        20.13 |        6.91% |
| NUE      | Nucor                                    |       261.07 |       131.32 |       280.11 |        6.80% |
| GWW      | W. W. Grainger                           |      1324.49 |       906.52 |      1419.91 |        6.72% |
| CB       | Chubb Limited                            |       341.59 |       265.30 |       365.91 |        6.65% |
| EW       | Edwards Lifesciences                     |        89.90 |        72.30 |        96.29 |        6.64% |
| FDX      | FedEx                                    |       322.52 |       178.94 |       345.37 |        6.62% |
| ELV      | Elevance Health                          |       407.50 |       274.84 |       436.24 |        6.59% |
| VRSN     | Verisign                                 |       292.08 |       208.86 |       312.48 |        6.53% |
| HUM      | Humana                                   |       401.54 |       163.11 |       428.88 |        6.37% |
| ALL      | Allstate                                 |       259.57 |       188.08 |       277.22 |        6.37% |
| APA      | APA Corporation                          |        42.77 |        21.57 |        45.66 |        6.33% |
| RF       | Regions Financial Corporation            |        30.42 |        22.70 |        32.47 |        6.31% |
| MTB      | M&T Bank                                 |       239.84 |       174.76 |       255.95 |        6.29% |
| FAST     | Fastenal                                 |        49.60 |        38.97 |        52.92 |        6.27% |
| MS       | Morgan Stanley                           |       217.72 |       147.25 |       232.25 |        6.26% |
| NDSN     | Nordson Corporation                      |       318.36 |       220.47 |       339.12 |        6.12% |
| ZBRA     | Zebra Technologies                       |       362.74 |       199.05 |       386.23 |        6.08% |
| QRVO     | Qorvo                                    |       102.84 |        74.92 |       109.49 |        6.07% |
| CF       | CF Industries                            |       133.35 |        75.42 |       141.96 |        6.07% |
| CFG      | Citizens Financial Group                 |        70.78 |        47.95 |        75.33 |        6.04% |
| AIZ      | Assurant                                 |       285.74 |       205.01 |       303.94 |        5.99% |
| ABNB     | Airbnb                                   |       181.94 |       110.81 |       193.45 |        5.95% |
| WBD      | Warner Bros. Discovery                   |        28.25 |        12.00 |        30.00 |        5.83% |
| TRGP     | Targa Resources                          |       290.05 |       144.14 |       307.94 |        5.81% |
| DRI      | Darden Restaurants                       |       216.88 |       169.00 |       229.76 |        5.61% |
| EOG      | EOG Resources                            |       145.19 |       101.59 |       153.67 |        5.52% |
| SBUX     | Starbucks                                |       104.47 |        77.99 |       110.51 |        5.47% |
| PAYC     | Paycom                                   |       231.67 |       104.90 |       244.98 |        5.43% |
| MSI      | Motorola Solutions                       |       468.05 |       359.36 |       494.85 |        5.42% |
| NEM      | Newmont                                  |       128.09 |        75.22 |       135.29 |        5.32% |
| HIG      | Hartford (The)                           |       138.37 |       120.33 |       146.07 |        5.27% |
| NWS      | News Corp (Class B)                      |        33.90 |        25.49 |        35.76 |        5.20% |
| PNC      | PNC Financial Services                   |       245.60 |       176.88 |       258.96 |        5.16% |
| TMO      | Thermo Fisher Scientific                 |       613.78 |       435.27 |       647.00 |        5.13% |
| WTW      | Willis Towers Watson                     |       334.74 |       240.61 |       352.79 |        5.12% |
| DXCM     | Dexcom                                   |        87.90 |        54.11 |        92.59 |        5.07% |
| EG       | Everest Group                            |       380.87 |       302.44 |       401.07 |        5.04% |
| CRL      | Charles River Laboratories               |       288.50 |       144.26 |       303.31 |        4.88% |
| SLB      | Schlumberger                             |        57.51 |        31.64 |        60.46 |        4.88% |
| NDAQ     | Nasdaq Inc.                              |        96.88 |        76.55 |       101.79 |        4.82% |
| KO       | Coca-Cola Company (The)                  |        88.07 |        65.35 |        92.49 |        4.78% |
| MHK      | Mohawk Industries                        |       133.63 |        92.99 |       140.30 |        4.75% |
| NTRS     | Northern Trust                           |       186.63 |       121.12 |       195.78 |        4.67% |
| RSG      | Republic Services                        |       222.71 |       196.41 |       233.42 |        4.59% |
| TFX      | Teleflex                                 |       138.36 |       100.18 |       145.00 |        4.58% |
| SCHW     | Charles Schwab Corporation               |       109.29 |        83.96 |       114.53 |        4.58% |
| PRU      | Prudential Financial                     |       122.02 |        91.89 |       127.72 |        4.46% |
| GM       | General Motors                           |        87.76 |        54.33 |        91.85 |        4.45% |
| OKE      | ONEOK                                    |        95.43 |        64.02 |        99.85 |        4.43% |
| INCY     | Incyte                                   |       126.75 |        81.09 |       132.60 |        4.41% |
| LH       | LabCorp                                  |       326.89 |       244.52 |       341.80 |        4.36% |
| ADM      | Archer Daniels Midland                   |        84.61 |        55.58 |        88.46 |        4.35% |
| APD      | Air Products                             |       301.27 |       229.11 |       314.87 |        4.32% |
| BDX      | Becton Dickinson                         |       184.74 |       127.59 |       193.07 |        4.31% |
| CAH      | Cardinal Health                          |       247.18 |       145.87 |       258.30 |        4.31% |
| BEN      | Franklin Resources                       |        34.73 |        21.11 |        36.28 |        4.27% |
| MRK      | Merck & Co.                              |       150.33 |        77.58 |       156.92 |        4.20% |
| ABBV     | AbbVie                                   |       256.46 |       190.75 |       267.47 |        4.12% |
| USB      | U.S. Bancorp                             |        63.37 |        45.02 |        66.08 |        4.10% |
| DGX      | Quest Diagnostics                        |       237.14 |       171.18 |       247.19 |        4.07% |
| NWSA     | News Corp (Class A)                      |        30.39 |        22.20 |        31.66 |        4.01% |
| GILD     | Gilead Sciences                          |       151.00 |       108.46 |       157.29 |        4.00% |
| WAT      | Waters Corporation                       |       409.38 |       282.77 |       426.22 |        3.95% |
| BAC      | Bank of America                          |        62.68 |        46.12 |        65.23 |        3.91% |
| CZR      | Caesars Entertainment                    |        29.68 |        17.86 |        30.88 |        3.89% |
| MA       | Mastercard                               |       579.21 |       464.52 |       601.62 |        3.72% |
| PFG      | Principal Financial Group                |       116.68 |        77.90 |       121.18 |        3.71% |
| MTCH     | Match Group                              |        41.86 |        28.81 |        43.47 |        3.70% |
| TGT      | Target Corporation                       |       164.44 |        83.44 |       170.75 |        3.70% |
| REGN     | Regeneron Pharmaceuticals                |       827.72 |       541.00 |       859.34 |        3.68% |
| CRM      | Salesforce                               |       259.23 |       146.32 |       269.11 |        3.67% |
| KDP      | Keurig Dr Pepper                         |        32.59 |        24.88 |        33.82 |        3.64% |
| GPN      | Global Payments                          |        92.54 |        61.16 |        95.88 |        3.48% |
| CTVA     | Corteva                                  |        87.86 |        60.53 |        90.97 |        3.42% |
| AWK      | American Water Works                     |       140.70 |       120.57 |       145.64 |        3.39% |
| CNC      | Centene Corporation                      |        67.04 |        28.33 |        69.36 |        3.34% |
| IFF      | International Flavors & Fragrances       |        86.35 |        59.14 |        89.32 |        3.33% |
| MET      | MetLife                                  |        97.62 |        67.33 |       100.93 |        3.28% |
| GEN      | Gen Digital                              |        30.65 |        17.78 |        31.65 |        3.16% |
| KMX      | CarMax                                   |        63.29 |        30.26 |        65.28 |        3.05% |
| VZ       | Verizon                                  |        50.14 |        38.39 |        51.68 |        2.98% |
| CVX      | Chevron Corporation                      |       208.60 |       146.49 |       214.71 |        2.85% |
| V        | Visa Inc.                                |       375.07 |       293.89 |       385.57 |        2.72% |
| BMY      | Bristol Myers Squibb                     |        66.82 |        42.52 |        68.64 |        2.65% |
| SOLV     | Solventum                                |        91.69 |        62.38 |        94.16 |        2.62% |
| NVDA     | Nvidia                                   |       230.36 |       164.27 |       236.54 |        2.61% |
| PFE      | Pfizer                                   |        28.45 |        23.58 |        29.21 |        2.60% |
| CPAY     | Corpay                                   |       416.37 |       252.84 |       427.46 |        2.59% |
| HSIC     | Henry Schein                             |        89.81 |        61.95 |        92.18 |        2.57% |
| VRTX     | Vertex Pharmaceuticals                   |       546.12 |       374.17 |       560.25 |        2.52% |
| RJF      | Raymond James Financial                  |       178.29 |       138.82 |       182.73 |        2.43% |
| MPC      | Marathon Petroleum                       |       388.90 |       161.93 |       398.52 |        2.41% |
| COP      | ConocoPhillips                           |       134.26 |        85.57 |       137.42 |        2.30% |
| BIIB     | Biogen                                   |       220.83 |       135.39 |       225.80 |        2.20% |
| AMGN     | Amgen                                    |       437.23 |       269.77 |       447.03 |        2.19% |
| JPM      | JPMorgan Chase                           |       358.64 |       279.10 |       366.50 |        2.14% |
| PSX      | Phillips 66                              |       255.09 |       126.74 |       260.68 |        2.14% |
| AMP      | Ameriprise Financial                     |       560.56 |       422.37 |       572.56 |        2.10% |
| RVTY     | Revvity                                  |       130.22 |        81.22 |       133.00 |        2.09% |
| JNJ      | Johnson & Johnson                        |       275.23 |       173.33 |       281.07 |        2.08% |
| DELL     | Dell Technologies                        |       524.14 |       110.22 |       534.99 |        2.03% |
| EXPD     | Expeditors International                 |       188.80 |       112.95 |       192.28 |        1.81% |
| IVZ      | Invesco                                  |        33.07 |        20.67 |        33.66 |        1.75% |
| DE       | Deere & Company                          |       693.53 |       433.00 |       705.88 |        1.75% |
| IQV      | IQVIA                                    |       267.77 |       154.50 |       271.80 |        1.48% |
| VLO      | Valero Energy                            |       370.72 |       153.60 |       375.11 |        1.17% |
| BBY      | Best Buy                                 |        90.27 |        55.10 |        91.27 |        1.10% |
| STT      | State Street Corporation                 |       194.26 |       104.64 |       195.93 |        0.85% |
| AVB      | AvalonBay Communities                    |       184.06 |        57.32 |       185.62 |        0.84% |
| HPQ      | HP Inc.                                  |        32.64 |        17.56 |        32.78 |        0.43% |
| TECH     | Bio-Techne                               |        72.43 |        43.20 |        72.62 |        0.26% |
| EA       | Electronic Arts                          |       209.70 |       164.50 |       210.20 |        0.24% |
+----------+------------------------------------------+--------------+--------------+--------------+--------------+
