+=================================================================================================+
| HIGHEST LOSERS (52-WEEK METRIC)                                                                 |
| Date: 20260908 | Processed entries: 486                                                         |
+=================================================================================================+

+----------+------------------------------------------+--------------+--------------+--------------+--------------+
| Symbol   | Name                                     | Price        | 52W Low      | 52W High     | Distance     |
| IT       | Gartner                                  |       186.42 |       124.25 |       265.85 |       29.88% |
| LRCX     | Lam Research                             |       307.65 |       104.46 |       438.50 |       29.84% |
| DECK     | Deckers Brands                           |        85.81 |        78.91 |       122.29 |       29.83% |
| CHRW     | C.H. Robinson                            |       147.64 |       123.64 |       210.33 |       29.81% |
| CDNS     | Cadence Design Systems                   |       292.70 |       262.75 |       416.69 |       29.76% |
| TRMB     | Trimble Inc.                             |        59.47 |        47.92 |        84.42 |       29.55% |
| IBM      | IBM                                      |       234.89 |       199.19 |       332.46 |       29.35% |
| KKR      | KKR                                      |       107.73 |        82.67 |       152.10 |       29.17% |
| TSLA     | Tesla Inc.                               |       354.08 |       297.38 |       498.83 |       29.02% |
| MPWR     | Monolithic Power Systems                 |      1223.86 |       830.00 |      1714.09 |       28.60% |
| CTSH     | Cognizant                                |        62.31 |        37.08 |        87.03 |       28.40% |
| BX       | Blackstone Inc.                          |       136.15 |       101.73 |       190.09 |       28.38% |
| ADBE     | Adobe Inc.                               |       266.51 |       190.12 |       370.86 |       28.14% |
| LUV      | Southwest Airlines                       |        39.62 |        29.26 |        55.11 |       28.11% |
| MKC      | McCormick & Company                      |        52.08 |        44.82 |        72.41 |       28.08% |
| CLX      | Clorox                                   |        93.06 |        84.70 |       128.90 |       27.80% |
| AVGO     | Broadcom                                 |       357.89 |       289.96 |       495.00 |       27.70% |
| HSY      | Hershey Company (The)                    |       173.15 |       161.43 |       239.48 |       27.70% |
| MLM      | Martin Marietta Materials                |       514.77 |       502.56 |       710.97 |       27.60% |
| JBL      | Jabil                                    |       310.57 |       189.60 |       428.93 |       27.59% |
| CEG      | Constellation Energy                     |       298.96 |       228.63 |       412.70 |       27.56% |
| NOW      | ServiceNow                               |       141.26 |        81.24 |       194.73 |       27.46% |
| HCA      | HCA Healthcare                           |       405.00 |       353.99 |       556.52 |       27.23% |
| DPZ      | Domino's                                 |       341.08 |       282.00 |       467.22 |       27.00% |
| TER      | Teradyne                                 |       357.03 |       109.56 |       487.91 |       26.82% |
| NVR      | NVR Inc.                                 |      6298.85 |      5501.01 |      8563.79 |       26.45% |
| RCL      | Royal Caribbean Group                    |       265.19 |       232.10 |       360.09 |       26.35% |
| ODFL     | Old Dominion                             |       185.87 |       126.01 |       252.03 |       26.25% |
| AOS      | A. O. Smith                              |        60.48 |        54.16 |        81.87 |       26.13% |
| TAP      | Molson Coors Beverage Company            |        40.50 |        38.04 |        54.82 |       26.12% |
| BRO      | Brown & Brown                            |        71.42 |        53.81 |        96.55 |       26.03% |
| ERIE     | Erie Indemnity                           |       252.80 |       204.63 |       341.71 |       26.02% |
| TSN      | Tyson Foods                              |        51.42 |        50.56 |        69.48 |       25.99% |
| IP       | International Paper                      |        37.24 |        29.26 |        50.25 |       25.89% |
| TPR      | Tapestry Inc.                            |       122.14 |        93.00 |       164.80 |       25.89% |
| STX      | Seagate Technology                       |       849.28 |       187.18 |      1145.00 |       25.83% |
| UBER     | Uber                                     |        75.76 |        65.41 |       101.99 |       25.72% |
| TMUS     | T-Mobile US                              |       181.52 |       165.66 |       244.24 |       25.68% |
| DVA      | DaVita                                   |       183.99 |       101.00 |       247.49 |       25.66% |
| LW       | Lamb Weston                              |        49.87 |        37.62 |        67.07 |       25.64% |
