+=================================================================================================+
| TOP MARKET CAP COMPANIES                                                                        |
| Date: 20260908 | Processed entries: 486                                                         |
+=================================================================================================+

+----------+----------------------+------------------------------------------+--------------------+
| Symbol   | Market Cap           | Name                                     | Sector             |
| IP       |       19,721,183,232 | International Paper                      | Paper & Plastic... |
| VTRS     |       19,388,213,248 | Viatris                                  | Pharmaceuticals    |
| LUV      |       19,382,427,648 | Southwest Airlines                       | Passenger Airlines |
| ESS      |       19,203,524,608 | Essex Property Trust                     | Multi-Family Re... |
| CDW      |       19,050,156,032 | CDW                                      | Technology Dist... |
| GPC      |       19,035,676,672 | Genuine Parts Company                    | Distributors       |
| BBY      |       18,932,117,504 | Best Buy                                 | Computer & Elec... |
| EVRG     |       18,800,447,488 | Evergy                                   | Electric Utilities |
| ZBH      |       18,705,645,568 | Zimmer Biomet                            | Health Care Equ... |
| GEN      |       18,346,690,560 | Gen Digital                              | Systems Software   |
| TSCO     |       18,231,195,648 | Tractor Supply                           | Other Specialty... |
| NWS      |       18,194,145,280 | News Corp (Class B)                      | Publishing         |
| TSN      |       18,089,631,744 | Tyson Foods                              | Packaged Foods ... |
| DD       |       17,767,202,816 | DuPont                                   | Specialty Chemi... |
| NDSN     |       17,738,364,928 | Nordson Corporation                      | Industrial Mach... |
| BEN      |       17,645,510,656 | Franklin Resources                       | Asset Managemen... |
| LNT      |       17,623,580,672 | Alliant Energy                           | Electric Utilities |
| FTV      |       17,358,786,560 | Fortive                                  | Industrial Mach... |
| ZBRA     |       17,278,535,680 | Zebra Technologies                       | Electronic Equi... |
| J        |       17,266,966,528 | Jacobs Solutions                         | Construction & ... |
| ROL      |       17,253,873,664 | Rollins Inc.                             | Environmental &... |
| CHRW     |       17,251,919,872 | C.H. Robinson                            | Air Freight & L... |
| INVH     |       16,864,851,968 | Invitation Homes                         | Single-Family R... |
| NVR      |       16,785,553,408 | NVR Inc.                                 | Homebuilding       |
| LDOS     |       16,735,756,288 | Leidos                                   | Diversified Sup... |
| BALL     |       16,685,668,352 | Ball Corporation                         | Metal Glass & P... |
| WY       |       16,591,342,592 | Weyerhaeuser                             | Timber REITs       |
| IEX      |       16,494,090,240 | IDEX Corporation                         | Industrial Mach... |
| NWSA     |       16,310,325,248 | News Corp (Class A)                      | Publishing         |
| KIM      |       15,830,629,376 | Kimco Realty                             | Retail REITs       |
| SOLV     |       15,607,814,144 | Solventum                                | Health Care Tec... |
| HST      |       15,318,718,464 | Host Hotels & Resorts                    | Hotel & Resort ... |
| MAA      |       15,311,994,880 | Mid-America Apartment Communities        | Multi-Family Re... |
| PTC      |       15,301,554,176 | PTC Inc.                                 | Application Sof... |
| AKAM     |       15,121,861,632 | Akamai Technologies                      | Internet Servic... |
| APA      |       14,984,535,040 | APA Corporation                          | Oil & Gas Explo... |
| TYL      |       14,907,855,872 | Tyler Technologies                       | Application Sof... |
| ALB      |       14,901,678,080 | Albemarle Corporation                    | Specialty Chemi... |
| SWK      |       14,702,980,096 | Stanley Black & Decker                   | Industrial Mach... |
| DOC      |       14,639,760,384 | Healthpeak Properties                    | Health Care REITs  |
| EG       |       14,603,597,824 | Everest Group                            | Reinsurance        |
| IVZ      |       14,600,397,824 | Invesco                                  | Asset Managemen... |
| RVTY     |       14,530,781,184 | Revvity                                  | Health Care Equ... |
| MAS      |       14,335,524,864 | Masco                                    | Building Products  |
| AIZ      |       14,093,772,800 | Assurant                                 | Multi-line Insu... |
| REG      |       14,070,514,688 | Regency Centers                          | Retail REITs       |
| MKC      |       14,001,788,928 | McCormick & Company                      | Packaged Foods ... |
| TRMB     |       13,867,205,632 | Trimble Inc.                             | Electronic Equi... |
| CRL      |       13,772,664,832 | Charles River Laboratories               | Life Sciences T... |
| BWA      |       13,755,625,472 | BorgWarner                               | Automotive Part... |
| TXT      |       13,749,401,600 | Textron                                  | Aerospace & Def... |
| COO      |       13,572,179,968 | Cooper Companies (The)                   | Health Care Sup... |
| UDR      |       13,479,359,488 | UDR Inc.                                 | Multi-Family Re... |
| SJM      |       13,468,267,520 | J.M. Smucker Company (The)               | Packaged Foods ... |
| GL       |       13,392,553,984 | Globe Life                               | Life & Health I... |
| AVY      |       13,390,406,656 | Avery Dennison                           | Paper & Plastic... |
| ALLE     |       13,360,978,944 | Allegion                                 | Building Products  |
| BAX      |       13,354,006,528 | Baxter International                     | Health Care Equ... |
| ERIE     |       13,218,878,464 | Erie Indemnity                           | Insurance Brokers  |
| HAS      |       13,050,844,160 | Hasbro                                   | Leisure Products   |
| GDDY     |       12,830,679,040 | GoDaddy                                  | Internet Servic... |
| CSGP     |       12,524,657,664 | CoStar Group                             | Real Estate Ser... |
| BXP      |       12,243,593,216 | BXP Inc.                                 | Office REITs       |
| HRL      |       11,854,556,160 | Hormel Foods                             | Packaged Foods ... |
| PNW      |       11,819,153,408 | Pinnacle West                            | Multi-Utilities    |
| DVA      |       11,809,398,784 | DaVita                                   | Health Care Ser... |
| IT       |       11,772,231,680 | Gartner                                  | IT Consulting &... |
| DECK     |       11,685,765,120 | Deckers Brands                           | Footwear           |
| JKHY     |       11,613,452,288 | Jack Henry & Associates                  | Transaction & P... |
| TECH     |       11,358,345,216 | Bio-Techne                               | Life Sciences T... |
| DPZ      |       11,283,518,464 | Domino's                                 | Restaurants        |
| ALGN     |       11,269,406,720 | Align Technology                         | Health Care Sup... |
| HII      |       11,266,957,312 | Huntington Ingalls Industries            | Aerospace & Def... |
| CLX      |       11,253,838,848 | Clorox                                   | Household Products |
| LULU     |       11,138,535,424 | Lululemon Athletica                      | Apparel Accesso... |
| SWKS     |       11,133,048,832 | Skyworks Solutions                       | Semiconductors     |
| GNRC     |       11,054,706,688 | Generac                                  | Electrical Comp... |
| FDS      |       10,739,371,008 | FactSet                                  | Financial Excha... |
| CPT      |       10,626,003,968 | Camden Property Trust                    | Multi-Family Re... |
| AES      |       10,547,602,432 | AES Corporation                          | Independent Pow... |
| MOH      |       10,481,760,256 | Molina Healthcare                        | Managed Health ... |
| PAYC     |       10,441,742,336 | Paycom                                   | Human Resource ... |
| MGM      |       10,370,653,184 | MGM Resorts                              | Casinos & Gaming   |
| HSIC     |       10,230,863,872 | Henry Schein                             | Health Care Dis... |
| PODD     |       10,228,357,120 | Insulet Corporation                      | Health Care Equ... |
| FRT      |       10,177,274,880 | Federal Realty Investment Trust          | Retail REITs       |
| APTV     |       10,147,204,096 | Aptiv                                    | Automotive Part... |
| UHS      |        9,998,579,712 | Universal Health Services                | Health Care Fac... |
| PNR      |        9,730,269,184 | Pentair                                  | Industrial Mach... |
| MTCH     |        9,609,005,056 | Match Group                              | Interactive Med... |
| WYNN     |        9,426,230,272 | Wynn Resorts                             | Casinos & Gaming   |
| QRVO     |        9,072,339,968 | Qorvo                                    | Semiconductors     |
| ARE      |        9,060,816,896 | Alexandria Real Estate Equities          | Office REITs       |
| MHK      |        9,051,848,704 | Mohawk Industries                        | Home Furnishings   |
| KMX      |        8,981,554,176 | CarMax                                   | Automotive Retail  |
| AOS      |        8,219,750,400 | A. O. Smith                              | Building Products  |
| MOS      |        8,217,602,560 | Mosaic Company (The)                     | Fertilizers & A... |
| EMN      |        8,138,912,768 | Eastman Chemical Company                 | Specialty Chemi... |
| TAP      |        7,551,384,576 | Molson Coors Beverage Company            | Brewers            |
| CAG      |        7,408,195,584 | Conagra Brands                           | Packaged Foods ... |
| NCLH     |        7,149,554,688 | Norwegian Cruise Line Holdings           | Hotels Resorts ... |
| BLDR     |        7,078,770,688 | Builders FirstSource                     | Building Products  |
| LW       |        6,856,284,672 | Lamb Weston                              | Packaged Foods ... |
| POOL     |        6,731,033,600 | Pool Corporation                         | Distributors       |
| LKQ      |        6,461,673,472 | LKQ Corporation                          | Distributors       |
| CPB      |        6,375,649,280 | Campbell Soup Company                    | Packaged Foods ... |
| CZR      |        6,048,112,128 | Caesars Entertainment                    | Casinos & Gaming   |
| EPAM     |        6,037,740,032 | EPAM Systems                             | IT Consulting &... |
| TFX      |        5,862,644,736 | Teleflex                                 | Health Care Equ... |
| MKTX     |        5,749,814,784 | MarketAxess                              | Financial Excha... |
| AMTM     |        4,904,798,720 | Amentum                                  | Diversified Sup... |
| CE       |        4,902,484,480 | Celanese                                 | Specialty Chemi... |
| ENPH     |        4,793,501,184 | Enphase Energy                           | Semiconductor M... |
| FMC      |        1,624,192,128 | FMC Corporation                          | Fertilizers & A... |
| PARA     |            3,586,470 | Paramount Global                         | Movies & Entert... |
+----------+----------------------+------------------------------------------+--------------------+
