+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 12/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
+----------+------------------------+----------+----------+----------+
| DELL     | Dell Technologies      |   567.29 |   567.75 |    0.08% |
| EA       | Electronic Arts        |   209.70 |   210.20 |    0.24% |
| EXPD     | Expeditors Internat... |   192.60 |   193.15 |    0.28% |
| BBY      | Best Buy               |    90.80 |    91.37 |    0.62% |
| TECH     | Bio-Techne             |    72.12 |    72.62 |    0.69% |
| AVB      | AvalonBay Communities  |   184.06 |   185.62 |    0.84% |
| COP      | ConocoPhillips         |   137.35 |   138.89 |    1.11% |
| STT      | State Street Corpor... |   193.40 |   195.93 |    1.29% |
| CVX      | Chevron Corporation    |   214.06 |   217.40 |    1.54% |
| HPQ      | HP Inc.                |    35.48 |    36.23 |    2.06% |
| VZ       | Verizon                |    50.61 |    51.68 |    2.07% |
| PSX      | Phillips 66            |   259.47 |   265.33 |    2.21% |
| VLO      | Valero Energy          |   390.42 |   399.25 |    2.21% |
| ADM      | Archer Daniels Midland |    86.72 |    88.75 |    2.29% |
| MTCH     | Match Group            |    42.39 |    43.47 |    2.48% |
| AMP      | Ameriprise Financial   |   557.61 |   572.56 |    2.61% |
| JPM      | JPMorgan Chase         |   356.23 |   366.50 |    2.80% |
| APA      | APA Corporation        |    44.73 |    46.10 |    2.97% |
| QRVO     | Qorvo                  |   116.65 |   120.52 |    3.21% |
| MPC      | Marathon Petroleum     |   395.93 |   409.11 |    3.22% |
| OKE      | ONEOK                  |    96.62 |    99.85 |    3.23% |
| HPE      | Hewlett Packard Ent... |    62.09 |    64.25 |    3.36% |
| NTRS     | Northern Trust         |   189.19 |   195.78 |    3.37% |
| AAPL     | Apple Inc.             |   332.27 |   344.57 |    3.57% |
| IQV      | IQVIA                  |   261.77 |   271.80 |    3.69% |
| MET      | MetLife                |    97.14 |   100.93 |    3.76% |
| BIIB     | Biogen                 |   217.15 |   225.80 |    3.83% |
| ABBV     | AbbVie                 |   257.12 |   267.47 |    3.87% |
| BAC      | Bank of America        |    62.69 |    65.23 |    3.89% |
| CZR      | Caesars Entertainment  |    29.67 |    30.88 |    3.92% |
| V        | Visa Inc.              |   370.45 |   385.57 |    3.92% |
| ELV      | Elevance Health        |   418.72 |   436.24 |    4.02% |
| IVZ      | Invesco                |    32.28 |    33.66 |    4.10% |
| EOG      | EOG Resources          |   147.36 |   153.67 |    4.11% |
| PFG      | Principal Financial... |   116.17 |   121.18 |    4.14% |
| HSIC     | Henry Schein           |    88.36 |    92.18 |    4.14% |
| WAT      | Waters Corporation     |   408.34 |   426.22 |    4.20% |
| CNC      | Centene Corporation    |    66.42 |    69.36 |    4.24% |
| DE       | Deere & Company        |   675.74 |   705.88 |    4.27% |
| SWKS     | Skyworks Solutions     |    88.35 |    92.30 |    4.28% |
| GEN      | Gen Digital            |    30.26 |    31.65 |    4.39% |
| HUM      | Humana                 |   409.80 |   428.88 |    4.45% |
| CPAY     | Corpay                 |   408.22 |   427.46 |    4.50% |
| KO       | Coca-Cola Company (... |    88.29 |    92.49 |    4.54% |
| RSG      | Republic Services      |   222.74 |   233.42 |    4.58% |
| NTAP     | NetApp                 |   199.28 |   209.06 |    4.68% |
| DVN      | Devon Energy           |    50.23 |    52.71 |    4.70% |
| USB      | U.S. Bancorp           |    62.84 |    66.08 |    4.90% |
| DGX      | Quest Diagnostics      |   235.02 |   247.19 |    4.92% |
| RJF      | Raymond James Finan... |   173.46 |   182.73 |    5.07% |
| PFE      | Pfizer                 |    27.72 |    29.21 |    5.10% |
| FFIV     | F5 Inc.                |   411.71 |   435.00 |    5.35% |
| MA       | Mastercard             |   569.19 |   601.62 |    5.39% |
| AWK      | American Water Works   |   137.69 |   145.64 |    5.46% |
| FANG     | Diamondback Energy     |   204.97 |   216.90 |    5.50% |
| JNJ      | Johnson & Johnson      |   265.58 |   281.07 |    5.51% |
| PNC      | PNC Financial Services |   244.24 |   258.96 |    5.68% |
| TRGP     | Targa Resources        |   290.25 |   307.94 |    5.74% |
| TMO      | Thermo Fisher Scien... |   609.82 |   647.00 |    5.75% |
| MSI      | Motorola Solutions     |   466.16 |   494.85 |    5.80% |
| TRV      | Travelers Companies... |   375.20 |   398.70 |    5.89% |
| XOM      | ExxonMobil             |   165.99 |   176.41 |    5.91% |
| APH      | Amphenol               |    83.92 |    89.26 |    5.98% |
| KMX      | CarMax                 |    61.32 |    65.28 |    6.07% |
| C        | Citigroup              |   138.82 |   147.96 |    6.18% |
| CF       | CF Industries          |   133.07 |   141.96 |    6.26% |
| NEM      | Newmont                |   126.81 |   135.29 |    6.27% |
| MTB      | M&T Bank               |   239.83 |   255.95 |    6.30% |
| MDLZ     | Mondelez International |    62.44 |    66.65 |    6.32% |
| VRSN     | Verisign               |   292.71 |   312.48 |    6.33% |
| SCHW     | Charles Schwab Corp... |   107.25 |   114.53 |    6.36% |
| IFF      | International Flavo... |    83.61 |    89.32 |    6.39% |
| CFG      | Citizens Financial ... |    70.48 |    75.33 |    6.44% |
| WBD      | Warner Bros. Discovery |    28.04 |    30.00 |    6.53% |
| RVTY     | Revvity                |   124.31 |   133.00 |    6.53% |
| PRU      | Prudential Financial   |   119.24 |   127.72 |    6.64% |
| HIG      | Hartford (The)         |   136.36 |   146.07 |    6.65% |
| GM       | General Motors         |    85.62 |    91.85 |    6.78% |
| FAST     | Fastenal               |    49.32 |    52.92 |    6.80% |
| NWSA     | News Corp (Class A)    |    29.44 |    31.66 |    7.01% |
| JCI      | Johnson Controls       |   146.01 |   157.06 |    7.04% |
| AIZ      | Assurant               |   282.46 |   303.94 |    7.07% |
| ANET     | Arista Networks        |   199.59 |   214.89 |    7.12% |
| SOLV     | Solventum              |    87.45 |    94.16 |    7.13% |
| KDP      | Keurig Dr Pepper       |    31.39 |    33.82 |    7.19% |
| RF       | Regions Financial C... |    30.13 |    32.47 |    7.21% |
| BEN      | Franklin Resources     |    33.65 |    36.28 |    7.25% |
| NDSN     | Nordson Corporation    |   314.47 |   339.12 |    7.27% |
| SLB      | Schlumberger           |    56.06 |    60.46 |    7.28% |
| BMY      | Bristol Myers Squibb   |    63.64 |    68.64 |    7.28% |
| EG       | Everest Group          |   371.71 |   401.07 |    7.32% |
| NUE      | Nucor                  |   259.43 |   280.11 |    7.38% |
| AME      | Ametek                 |   241.87 |   261.16 |    7.39% |
| APD      | Air Products           |   291.43 |   314.87 |    7.44% |
| CB       | Chubb Limited          |   338.25 |   365.91 |    7.56% |
| WAB      | Wabtec                 |   283.22 |   306.64 |    7.64% |
| WFC      | Wells Fargo            |    90.29 |    97.76 |    7.64% |
| WELL     | Welltower              |   235.62 |   255.20 |    7.67% |
| MS       | Morgan Stanley         |   214.38 |   232.25 |    7.69% |
| NVDA     | Nvidia                 |   218.29 |   236.54 |    7.72% |
| CTVA     | Corteva                |    83.90 |    90.97 |    7.77% |
| BDX      | Becton Dickinson       |   177.85 |   193.07 |    7.88% |
| EVRG     | Evergy                 |    81.62 |    88.62 |    7.90% |
| GPN      | Global Payments        |    88.29 |    95.88 |    7.92% |
| CRM      | Salesforce             |   247.72 |   269.11 |    7.95% |
| VRTX     | Vertex Pharmaceuticals |   515.44 |   560.25 |    8.00% |
| FITB     | Fifth Third Bancorp    |    54.72 |    59.50 |    8.03% |
| IEX      | IDEX Corporation       |   224.21 |   243.80 |    8.04% |
| PM       | Philip Morris Inter... |   191.06 |   207.76 |    8.04% |
| EQIX     | Equinix                |  1037.72 |  1128.68 |    8.06% |
| CTAS     | Cintas                 |   201.50 |   219.17 |    8.06% |
| CRL      | Charles River Labor... |   278.26 |   303.31 |    8.26% |
| MRK      | Merck & Co.            |   143.93 |   156.92 |    8.28% |
| INCY     | Incyte                 |   121.47 |   132.60 |    8.39% |
| ED       | Consolidated Edison    |   106.46 |   116.23 |    8.41% |
| ALL      | Allstate               |   253.71 |   277.22 |    8.48% |
| EMR      | Emerson Electric       |   152.19 |   166.35 |    8.51% |
| NWS      | News Corp (Class B)    |    32.71 |    35.76 |    8.53% |
| GILD     | Gilead Sciences        |   143.72 |   157.29 |    8.63% |
| DRI      | Darden Restaurants     |   209.89 |   229.76 |    8.65% |
| CSX      | CSX Corporation        |    48.95 |    53.60 |    8.68% |
| TGT      | Target Corporation     |   155.83 |   170.75 |    8.74% |
| LH       | LabCorp                |   311.54 |   341.80 |    8.85% |
| OXY      | Occidental Petroleum   |    61.46 |    67.45 |    8.88% |
| DIS      | Walt Disney Company... |   106.55 |   117.09 |    9.00% |
| WMB      | Williams Companies     |    72.85 |    80.08 |    9.03% |
| REGN     | Regeneron Pharmaceu... |   781.49 |   859.34 |    9.06% |
| CDW      | CDW                    |   153.79 |   169.20 |    9.11% |
| CAH      | Cardinal Health        |   234.57 |   258.30 |    9.19% |
| BG       | Bunge Global           |   122.41 |   134.87 |    9.24% |
| KEY      | KeyCorp                |    21.84 |    24.07 |    9.26% |
| ZBRA     | Zebra Technologies     |   350.37 |   386.23 |    9.28% |
| DLR      | Digital Realty         |   188.58 |   208.14 |    9.40% |
| SYY      | Sysco                  |    83.21 |    91.85 |    9.41% |
| MHK      | Mohawk Industries      |   126.79 |   140.30 |    9.63% |
| ADP      | Automatic Data Proc... |   268.26 |   296.86 |    9.63% |
| TFX      | Teleflex               |   130.99 |   145.00 |    9.66% |
| FDX      | FedEx                  |   311.99 |   345.37 |    9.66% |
| KEYS     | Keysight Technologies  |   338.64 |   374.96 |    9.69% |
| EBAY     | eBay                   |   107.75 |   119.31 |    9.69% |
| JBHT     | J.B. Hunt              |   270.45 |   299.76 |    9.78% |
| PKG      | Packaging Corporati... |   234.40 |   259.98 |    9.84% |
| GWW      | W. W. Grainger         |  1280.00 |  1419.91 |    9.85% |
| UNP      | Union Pacific Corpo... |   284.40 |   315.99 |   10.00% |
| ESS      | Essex Property Trust   |   272.91 |   303.35 |   10.03% |
| GRMN     | Garmin                 |   282.67 |   314.28 |   10.06% |
| LYV      | Live Nation Enterta... |   170.15 |   189.25 |   10.09% |
| L        | Loews Corporation      |   108.79 |   121.01 |   10.10% |
| ROST     | Ross Stores            |   230.74 |   257.00 |   10.22% |
| VTRS     | Viatris                |    16.51 |    18.39 |   10.22% |
| FTNT     | Fortinet               |   156.07 |   173.89 |   10.25% |
| ACGL     | Arch Capital Group     |    96.09 |   107.09 |   10.27% |
| A        | Agilent Technologies   |   146.93 |   163.75 |   10.27% |
| WST      | West Pharmaceutical... |   346.23 |   386.00 |   10.30% |
| TFC      | Truist Financial       |    50.40 |    56.20 |   10.32% |
| DXCM     | Dexcom                 |    83.03 |    92.59 |   10.33% |
| XEL      | Xcel Energy            |    75.50 |    84.23 |   10.36% |
| NDAQ     | Nasdaq Inc.            |    91.19 |   101.79 |   10.41% |
| MO       | Altria                 |    68.98 |    77.06 |   10.49% |
| MSFT     | Microsoft              |   495.63 |   553.72 |   10.49% |
| ES       | Eversource Energy      |    68.52 |    76.57 |   10.51% |
| WTW      | Willis Towers Watson   |   315.61 |   352.79 |   10.54% |
| AMZN     | Amazon                 |   256.78 |   287.20 |   10.59% |
| GL       | Globe Life             |   171.17 |   191.55 |   10.64% |
| PAYC     | Paycom                 |   218.91 |   244.98 |   10.64% |
| SBUX     | Starbucks              |    98.74 |   110.51 |   10.65% |
| AMT      | American Tower         |   177.85 |   199.13 |   10.69% |
| NSC      | Norfolk Southern Ra... |   320.27 |   358.60 |   10.69% |
| ECL      | Ecolab                 |   276.18 |   309.27 |   10.70% |
| MMM      | 3M                     |   164.97 |   184.90 |   10.78% |
| FRT      | Federal Realty Inve... |   114.36 |   128.21 |   10.80% |
| REG      | Regency Centers        |    74.62 |    83.66 |   10.81% |
| GS       | Goldman Sachs          |  1029.18 |  1153.99 |   10.82% |
| INVH     | Invitation Homes       |    27.54 |    30.89 |   10.85% |
| SJM      | J.M. Smucker Compan... |   121.14 |   135.89 |   10.85% |
| ICE      | Intercontinental Ex... |   157.40 |   176.59 |   10.87% |
| EQR      | Equity Residential     |    63.66 |    71.50 |   10.97% |
| CI       | Cigna                  |   280.76 |   315.47 |   11.00% |
| ETN      | Eaton Corporation      |   425.37 |   478.00 |   11.01% |
| GD       | General Dynamics       |   355.90 |   400.00 |   11.03% |
| ETR      | Entergy                |   105.33 |   118.45 |   11.08% |
| DUK      | Duke Energy            |   119.42 |   134.49 |   11.21% |
| CHD      | Church & Dwight        |    94.15 |   106.04 |   11.21% |
| SNA      | Snap-on                |   375.44 |   423.02 |   11.25% |
| AEE      | Ameren                 |   104.90 |   118.32 |   11.34% |
| KMI      | Kinder Morgan          |    30.86 |    34.81 |   11.35% |
| VTR      | Ventas                 |    89.99 |   101.60 |   11.43% |
| FCX      | Freeport-McMoRan       |    71.07 |    80.24 |   11.43% |
| AFL      | Aflac                  |   115.28 |   130.22 |   11.47% |
| WRB      | W. R. Berkley Corpo... |    69.90 |    78.96 |   11.47% |
| PLD      | Prologis               |   135.75 |   153.35 |   11.48% |
| BLK      | BlackRock              |  1079.65 |  1219.94 |   11.50% |
| ITW      | Illinois Tool Works    |   268.16 |   303.16 |   11.55% |
| DOC      | Healthpeak Properties  |    20.30 |    22.95 |   11.55% |
| CRWD     | CrowdStrike            |   206.74 |   233.88 |   11.60% |
| PSA      | Public Storage         |   296.50 |   335.55 |   11.64% |
| KVUE     | Kenvue                 |    17.78 |    20.13 |   11.67% |
| AMD      | Advanced Micro Devices |   516.13 |   584.73 |   11.73% |
| MCK      | McKesson Corporation   |   881.51 |   999.00 |   11.76% |
| OMC      | Omnicom Group          |    79.01 |    89.57 |   11.79% |
| GPC      | Genuine Parts Company  |   133.68 |   151.57 |   11.80% |
| D        | Dominion Energy        |    64.36 |    72.99 |   11.82% |
| PCAR     | Paccar                 |   122.73 |   139.24 |   11.86% |
| FE       | FirstEnergy            |    46.13 |    52.34 |   11.86% |
| ABNB     | Airbnb                 |   170.19 |   193.45 |   12.03% |
| WEC      | WEC Energy Group       |   105.33 |   119.91 |   12.16% |
| AEP      | American Electric P... |   123.33 |   140.58 |   12.27% |
| BALL     | Ball Corporation       |    59.90 |    68.29 |   12.29% |
| EW       | Edwards Lifesciences   |    84.37 |    96.29 |   12.38% |
| O        | Realty Income          |    59.50 |    67.94 |   12.42% |
| KHC      | Kraft Heinz            |    24.60 |    28.09 |   12.42% |
| T        | AT&T                   |    26.06 |    29.79 |   12.52% |
| TT       | Trane Technologies     |   442.52 |   505.87 |   12.52% |
| ZBH      | Zimmer Biomet          |    93.49 |   106.88 |   12.53% |
| CL       | Colgate-Palmolive      |    86.80 |    99.33 |   12.61% |
| PGR      | Progressive Corpora... |   217.62 |   249.14 |   12.65% |
| CINF     | Cincinnati Financial   |   169.80 |   194.81 |   12.84% |
| RTX      | RTX Corporation        |   197.68 |   226.88 |   12.87% |
| TROW     | T. Rowe Price          |   106.29 |   122.00 |   12.88% |
| KIM      | Kimco Realty           |    23.19 |    26.65 |   12.98% |
| PG       | Procter & Gamble       |   145.27 |   167.25 |   13.14% |
| MCO      | Moody's Corporation    |   474.95 |   546.88 |   13.15% |
| HBAN     | Huntington Bancshares  |    16.86 |    19.46 |   13.36% |
| EXR      | Extra Space Storage    |   137.64 |   158.88 |   13.37% |
| TDY      | Teledyne Technologies  |   603.79 |   697.67 |   13.46% |
| MNST     | Monster Beverage       |    43.40 |    50.17 |   13.49% |
| HST      | Host Hotels & Resorts  |    22.24 |    25.71 |   13.50% |
| PNW      | Pinnacle West          |    96.10 |   111.16 |   13.55% |
| SO       | Southern Company       |    87.17 |   100.84 |   13.56% |
| MAA      | Mid-America Apartme... |   124.79 |   144.41 |   13.59% |
| CNP      | CenterPoint Energy     |    39.11 |    45.26 |   13.59% |
| PH       | Parker Hannifin        |   950.23 |  1099.94 |   13.61% |
| FOXA     | Fox Corporation (Cl... |    65.94 |    76.39 |   13.68% |
| LLY      | Lilly (Eli)            |  1115.70 |  1292.65 |   13.69% |
| AIG      | American Internatio... |    75.33 |    87.29 |   13.70% |
| ROK      | Rockwell Automation    |   428.39 |   497.36 |   13.87% |
| WM       | Waste Management       |   213.46 |   248.13 |   13.97% |
| MSCI     | MSCI                   |   554.61 |   644.77 |   13.98% |
| CSCO     | Cisco                  |   112.13 |   130.37 |   13.99% |
| CPT      | Camden Property Trust  |   103.01 |   119.81 |   14.02% |
| VLTO     | Veralto                |    94.10 |   109.53 |   14.08% |
| SPG      | Simon Property Group   |   204.83 |   238.50 |   14.12% |
| FOX      | Fox Corporation (Cl... |    58.45 |    68.17 |   14.26% |
| SYF      | Synchrony Financial    |    75.99 |    88.77 |   14.40% |
| SHW      | Sherwin-Williams       |   323.31 |   377.77 |   14.42% |
| HAS      | Hasbro                 |    91.54 |   106.98 |   14.43% |
| MDT      | Medtronic              |    90.96 |   106.33 |   14.45% |
| HLT      | Hilton Worldwide       |   306.19 |   358.00 |   14.47% |
| CVS      | CVS Health             |    94.66 |   110.68 |   14.47% |
| IRM      | Iron Mountain          |   115.18 |   134.68 |   14.48% |
| LNT      | Alliant Energy         |    67.26 |    78.81 |   14.66% |
| PAYX     | Paychex                |   115.80 |   135.78 |   14.71% |
