+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 12/09/2026 | Processed entries: 485                      |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
+--------------------+----------+--------------------------------+
|  5,271,048,421,376 | NVDA     | Nvidia                         |
|  4,849,207,869,440 | AAPL     | Apple Inc.                     |
|  4,139,833,098,240 | GOOGL    | Alphabet Inc. (Class A)        |
|  4,102,531,842,048 | GOOG     | Alphabet Inc. (Class C)        |
|  3,680,323,239,936 | MSFT     | Microsoft                      |
|  2,769,709,432,832 | AMZN     | Amazon                         |
|  1,728,006,324,224 | AVGO     | Broadcom                       |
|  1,650,860,490,752 | META     | Meta Platforms                 |
|  1,443,322,658,816 | TSLA     | Tesla Inc.                     |
|  1,101,452,017,664 | MU       | Micron Technology              |
|    994,915,778,560 | LLY      | Lilly (Eli)                    |
|    946,925,731,840 | JPM      | JPMorgan Chase                 |
|    852,708,163,584 | WMT      | Walmart                        |
|    842,569,351,168 | AMD      | Advanced Micro Devices         |
|    691,647,676,416 | V        | Visa Inc.                      |
|    682,536,271,872 | XOM      | ExxonMobil                     |
|    640,020,840,448 | JNJ      | Johnson & Johnson              |
|    544,151,666,688 | INTC     | Intel                          |
|    498,616,074,240 | MA       | Mastercard                     |
|    454,361,186,304 | ABBV     | AbbVie                         |
|    442,082,263,040 | CSCO     | Cisco                          |
|    438,375,383,040 | BAC      | Bank of America                |
|    432,877,174,784 | ORCL     | Oracle Corporation             |
|    419,900,817,408 | CVX      | Chevron Corporation            |
|    401,863,442,432 | PLTR     | Palantir Technologies          |
|    401,246,322,688 | COST     | Costco                         |
|    379,872,051,200 | KO       | Coca-Cola Company (The)        |
|    376,276,058,112 | CAT      | Caterpillar Inc.               |
|    373,168,930,816 | LRCX     | Lam Research                   |
|    362,269,278,208 | AMAT     | Applied Materials              |
|    360,690,188,288 | DELL     | Dell Technologies              |
|    355,100,000,256 | MRK      | Merck & Co.                    |
|    340,269,203,456 | UNH      | UnitedHealth Group             |
|    337,414,619,136 | PG       | Procter & Gamble               |
|    336,698,015,744 | MS       | Morgan Stanley                 |
|    335,817,474,048 | GE       | GE Aerospace                   |
|    322,288,943,104 | NFLX     | Netflix                        |
|    308,026,671,104 | HD       | Home Depot (The)               |
|    299,667,783,680 | GS       | Goldman Sachs                  |
|    297,788,669,952 | PM       | Philip Morris International    |
|    273,036,886,016 | WFC      | Wells Fargo                    |
|    270,471,692,288 | PANW     | Palo Alto Networks             |
|    266,424,811,520 | RTX      | RTX Corporation                |
|    254,953,160,704 | GEV      | GE Vernova                     |
|    251,727,839,232 | ANET     | Arista Networks                |
|    245,389,656,064 | TXN      | Texas Instruments              |
|    236,014,616,576 | KLAC     | KLA Corporation                |
|    232,861,794,304 | C        | Citigroup                      |
|    229,211,865,088 | IBM      | IBM                            |
|    225,479,294,976 | TMO      | Thermo Fisher Scientific       |
|    219,266,351,104 | AXP      | American Express               |
|    214,918,168,576 | LIN      | Linde plc                      |
|    211,688,292,352 | CRWD     | CrowdStrike                    |
|    210,273,173,504 | VZ       | Verizon                        |
|    206,943,928,320 | APH      | Amphenol                       |
|    204,007,489,536 | AMGN     | Amgen                          |
|    203,873,566,720 | CRM      | Salesforce                     |
|    195,580,215,296 | TMUS     | T-Mobile US                    |
|    194,354,970,624 | QCOM     | Qualcomm                       |
|    188,774,842,368 | STX      | Seagate Technology             |
|    186,213,122,048 | PEP      | PepsiCo                        |
|    185,471,254,528 | SCHW     | Charles Schwab Corporation     |
|    183,978,491,904 | DIS      | Walt Disney Company (The)      |
|    183,543,709,696 | ADI      | Analog Devices                 |
|    182,196,666,368 | DE       | Deere & Company                |
|    178,700,713,984 | MCD      | McDonald's                     |
|    178,573,164,544 | T        | AT&T                           |
|    178,206,359,552 | GILD     | Gilead Sciences                |
|    176,412,573,696 | ABT      | Abbott Laboratories            |
|    175,417,425,920 | BLK      | BlackRock                      |
|    171,696,865,280 | NEE      | NextEra Energy                 |
|    169,781,182,464 | WELL     | Welltower                      |
|    168,955,068,416 | UNP      | Union Pacific Corporation      |
|    166,333,366,272 | BA       | Boeing                         |
|    165,213,700,096 | ETN      | Eaton Corporation              |
|    165,003,706,368 | COP      | ConocoPhillips                 |
|    161,226,686,464 | WDC      | Western Digital                |
|    157,994,942,464 | PFE      | Pfizer                         |
|    153,607,716,864 | BX       | Blackstone Inc.                |
|    146,390,286,336 | UBER     | Uber                           |
|    143,335,014,400 | GLW      | Corning Inc.                   |
|    140,695,633,920 | DHR      | Danaher Corporation            |
|    138,618,716,160 | TJX      | TJX Companies                  |
|    137,017,729,024 | NOW      | ServiceNow                     |
|    133,618,712,576 | NEM      | Newmont                        |
|    132,258,340,864 | ISRG     | Intuitive Surgical             |
|    131,961,405,440 | PLD      | Prologis                       |
|    130,680,094,720 | BKNG     | Booking Holdings               |
|    130,643,902,464 | VRTX     | Vertex Pharmaceuticals         |
|    130,496,806,912 | CB       | Chubb Limited                  |
|    129,998,356,480 | BMY      | Bristol Myers Squibb           |
|    127,788,900,352 | COF      | Capital One                    |
|    126,458,986,496 | PGR      | Progressive Corporation        |
|    121,077,309,440 | SPGI     | S&P Global                     |
|    121,067,339,776 | CVS      | CVS Health                     |
|    120,978,202,624 | LMT      | Lockheed Martin                |
|    119,774,085,120 | PH       | Parker Hannifin                |
|    116,350,386,176 | MDT      | Medtronic                      |
|    115,178,938,368 | MO       | Altria                         |
|    114,510,700,544 | FTNT     | Fortinet                       |
|    112,563,601,408 | SBUX     | Starbucks                      |
|    112,536,141,824 | ACN      | Accenture                      |
|    112,412,639,232 | VLO      | Valero Energy                  |
|    111,186,952,192 | MPC      | Marathon Petroleum             |
|    110,426,652,672 | LOW      | Lowe's                         |
|    106,569,711,616 | ADP      | Automatic Data Processing      |
|    105,697,386,496 | SYK      | Stryker Corporation            |
|    104,030,609,408 | PSX      | Phillips 66                    |
|    102,775,570,432 | MCK      | McKesson Corporation           |
|    102,393,577,472 | EQIX     | Equinix                        |
|    102,057,762,816 | FCX      | Freeport-McMoRan               |
|    101,907,333,120 | ABNB     | Airbnb                         |
